Location,Age,Sex,Measure,Metric,Pathogen,Pathogen Type,Infectious syndrome,Year,Value,Upper,Lower
Afghanistan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Staphylococcus aureus,Bacteria,All infectious syndromes,2019,904.5940652406919,1176.4242454920857,681.9387158277337
Angola,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Staphylococcus aureus,Bacteria,All infectious syndromes,2019,616.6375916511623,824.2120885304861,446.3484104121011
Albania,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Staphylococcus aureus,Bacteria,All infectious syndromes,2019,311.24169023073216,467.28804857486966,198.2700793567762
Andorra,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Staphylococcus aureus,Bacteria,All infectious syndromes,2019,354.9759427678416,545.8284935542812,223.1503373719346
United Arab Emirates,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Staphylococcus aureus,Bacteria,All infectious syndromes,2019,187.48355070651473,311.98540792043565,113.02895906624931
Argentina,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Staphylococcus aureus,Bacteria,All infectious syndromes,2019,561.3447347376614,703.6581681126975,448.2517479305429
Armenia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Staphylococcus aureus,Bacteria,All infectious syndromes,2019,425.3189915658406,602.2558960758323,289.7516430876079
American Samoa,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Staphylococcus aureus,Bacteria,All infectious syndromes,2019,259.1095933605236,375.724154035281,170.60256934488407
Antigua and Barbuda,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Staphylococcus aureus,Bacteria,All infectious syndromes,2019,273.2150164237251,386.2357740214724,183.68973143077875
Australia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Staphylococcus aureus,Bacteria,All infectious syndromes,2019,308.6222317221493,451.1179788422708,199.64871770462614
Austria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Staphylococcus aureus,Bacteria,All infectious syndromes,2019,293.81989632795336,436.7742531637742,186.7612732983667
Azerbaijan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Staphylococcus aureus,Bacteria,All infectious syndromes,2019,482.25122639409796,654.6182662955421,343.2628657336486
Burundi,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Staphylococcus aureus,Bacteria,All infectious syndromes,2019,977.083300940449,1332.8281595481144,693.3950668367584
