Location,Age,Sex,Measure,Metric,Pathogen,Pathogen Type,Infectious syndrome,Year,Value,Upper,Lower
Afghanistan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Klebsiella pneumoniae,Bacteria,All infectious syndromes,2019,1188.4283419302535,1572.8778060521965,869.710817011876
Angola,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Klebsiella pneumoniae,Bacteria,All infectious syndromes,2019,878.4416377850464,1163.1308627697981,634.260300364704
Albania,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Klebsiella pneumoniae,Bacteria,All infectious syndromes,2019,175.18931037705337,270.89067110226205,104.79405548956262
Andorra,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Klebsiella pneumoniae,Bacteria,All infectious syndromes,2019,133.96894662402752,208.16804064578096,83.64324520504661
United Arab Emirates,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Klebsiella pneumoniae,Bacteria,All infectious syndromes,2019,112.19102750405854,187.88258339920728,64.00170235357301
Argentina,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Klebsiella pneumoniae,Bacteria,All infectious syndromes,2019,300.33652931242096,396.6752936344378,223.76843251164684
Armenia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Klebsiella pneumoniae,Bacteria,All infectious syndromes,2019,276.93250808342725,391.8648467589736,188.89283271924768
American Samoa,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Klebsiella pneumoniae,Bacteria,All infectious syndromes,2019,239.3752994674365,344.1722289639082,156.61727769004364
Antigua and Barbuda,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Klebsiella pneumoniae,Bacteria,All infectious syndromes,2019,180.13981807377232,260.1102780277296,117.61228304954406
Australia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Klebsiella pneumoniae,Bacteria,All infectious syndromes,2019,103.4724182134953,150.74771667536086,68.24697709111301
Austria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Klebsiella pneumoniae,Bacteria,All infectious syndromes,2019,128.18867093131,189.79987970376982,82.39621418113683
Azerbaijan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Klebsiella pneumoniae,Bacteria,All infectious syndromes,2019,347.32012220584994,489.894085551099,239.32874581525056
Burundi,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Klebsiella pneumoniae,Bacteria,All infectious syndromes,2019,1110.6757738842498,1505.605299410382,780.0719275881099
Belgium,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Klebsiella pneumoniae,Bacteria,All infectious syndromes,2019,173.66348206822664,240.8708469386046,122.25632482568408
Benin,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Klebsiella pneumoniae,Bacteria,All infectious syndromes,2019,1494.221250581684,2035.9085534986825,1064.6969219671525
Burkina Faso,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Klebsiella pneumoniae,Bacteria,All infectious syndromes,2019,2049.1914536132795,2777.2341526302394,1535.1484912987341
Bangladesh,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Klebsiella pneumoniae,Bacteria,All infectious syndromes,2019,387.6904462615181,539.4401612998728,270.0282223185837
Bulgaria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Klebsiella pneumoniae,Bacteria,All infectious syndromes,2019,351.8024151359549,537.4904342462057,208.70651348110542
Bahrain,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Klebsiella pneumoniae,Bacteria,All infectious syndromes,2019,100.91392307655948,159.5353263024735,60.751656729298354
Bahamas,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Klebsiella pneumoniae,Bacteria,All infectious syndromes,2019,277.856204321918,409.456164393165,184.94557027649907
Bosnia and Herzegovina,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Klebsiella pneumoniae,Bacteria,All infectious syndromes,2019,200.12736536581883,312.465284638131,115.31922529000353
Belarus,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Klebsiella pneumoniae,Bacteria,All infectious syndromes,2019,191.37557873469657,305.8367570929782,115.99680677893367
Belize,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Klebsiella pneumoniae,Bacteria,All infectious syndromes,2019,208.3784170257575,292.1640362517623,141.82026549545543
Bermuda,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Klebsiella pneumoniae,Bacteria,All infectious syndromes,2019,115.84817424901341,174.59801253403833,73.54419042729243
Bolivia (Plurinational State of),All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Klebsiella pneumoniae,Bacteria,All infectious syndromes,2019,640.3154465780011,864.9364748980721,463.6861915973279
Brazil,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Klebsiella pneumoniae,Bacteria,All infectious syndromes,2019,310.92690408061804,427.2681062229626,227.18169882586557
Barbados,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Klebsiella pneumoniae,Bacteria,All infectious syndromes,2019,346.97938640682446,492.21148601910454,233.6289664222735
Brunei Darussalam,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Klebsiella pneumoniae,Bacteria,All infectious syndromes,2019,130.21471964731185,187.87628349869655,85.71073784689395
Bhutan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Klebsiella pneumoniae,Bacteria,All infectious syndromes,2019,315.2859227215532,481.9930317956348,206.02456203377005
