Location,Age,Sex,Measure,Metric,Pathogen,Pathogen Type,Infectious syndrome,Year,Value,Upper,Lower
Afghanistan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,236.32929603595102,361.3400383892247,140.26618965809828
Angola,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,180.92094217899975,266.5110341566994,113.80346117546166
Albania,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,42.48279348915885,77.13263485896474,20.060145656782506
Andorra,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,37.24819087036543,65.37009056615685,18.95031473283973
United Arab Emirates,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,72.49652605549218,133.5550331159129,34.382968458757
Argentina,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,119.13856354182349,181.7809733018961,71.61309906120835
Armenia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,99.73722697577247,158.21785179579007,56.925343788030055
American Samoa,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,197.54579522362437,310.1187582712323,113.45823482383757
Antigua and Barbuda,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,231.14589395257508,369.0604951948874,128.289080066423
Australia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,64.01713106014562,102.19609118222003,36.27761375276376
Austria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,42.34031970676493,72.837751644525,22.30495696656973
Azerbaijan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,101.29011518441968,166.16514022340863,57.165440763801136
Burundi,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,227.32905536477148,350.43266980109235,137.09988865886353
Belgium,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,41.59449158268224,70.81657418898236,22.95196736073002
Benin,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,240.74720803187634,364.26969079914466,150.88915949492744
Burkina Faso,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,307.1377589811734,474.30436418203203,195.9922083861809
Bangladesh,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,95.126113521687,150.46984277074486,56.16759159357924
Bulgaria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,101.6516081333766,181.53974108542045,49.749821328115814
Bahrain,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,52.29507537118284,90.10578006659918,27.265962951293975
Bahamas,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,138.1128207452834,229.0508024589199,76.3674153240375
Bosnia and Herzegovina,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,128.1215340708733,220.99377015255382,64.37421860846325
Belarus,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,101.71465845098578,185.003176334522,49.8446658806288
Belize,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,187.6711148913666,290.1472351339186,110.2121785527899
Bermuda,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,185.52518825906827,296.88569576809,99.86376197604449
Bolivia (Plurinational State of),All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,189.6122524987033,293.3386482228388,112.33540191343491
Brazil,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,122.37653051256935,189.37919874563238,72.77851901160378
Barbados,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,171.0231581546747,290.95458034028496,93.13936620588741
Brunei Darussalam,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,188.71783601364228,302.9904220780566,107.40160049656201
Bhutan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,241.68988106873738,390.20001091792125,140.27675281860138
Botswana,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,182.24159644564273,284.91000006511814,111.73519384326646
Central African Republic,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,357.9476063933302,540.8271319676952,223.2715243577684
Canada,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,79.48002457301105,126.35503030112352,45.29594047224186
Switzerland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,32.91475183461668,56.097969210979315,18.323115917455063
Chile,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,75.23526237380813,118.06744923573173,43.129759628085026
Côte d'Ivoire,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,210.96692282240429,306.5101967372157,134.17016560506843
Cameroon,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,188.17887102236668,281.58391210171396,119.40739713301436
Democratic Republic of the Congo,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,186.39951155682837,271.0283220236631,119.78583304887322
Congo,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,165.8942087635533,256.147384919438,100.73977426110433
Cook Islands,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,261.0178636200151,411.31878206841515,151.03613362086264
Colombia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,80.75416193114059,133.2963354324709,44.58846642728046
Comoros,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,324.86114521192127,485.79956192499685,205.0025142167719
Cabo Verde,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,218.02141178098145,328.3901809457716,136.17835944564354
Costa Rica,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,72.39866429866268,121.38412508738402,38.09617066683776
Cuba,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,218.53551247939632,358.2471148658332,120.87593921182108
Cyprus,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,31.733759857336285,55.00503282252491,16.84742063399129
Czechia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,114.73501485423316,201.5407576355084,58.59281431436656
Germany,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,48.71894976678958,84.508416369782,26.719518393764726
Djibouti,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,191.07121257963624,296.4786121355626,118.2716410429356
Dominica,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,388.18536767122225,609.7735952753808,218.8794027875995
Denmark,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,43.023195061843936,73.17192113184316,23.62250024631828
Dominican Republic,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,162.7374824974841,255.5210983417392,95.64605270897408
Algeria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,75.4323478920852,125.18565939374109,40.385915253734325
Ecuador,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,105.34146827283278,168.52493086633118,61.23837009850489
Eritrea,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,242.3819851255065,390.7563911978619,144.2972257409523
Spain,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,38.97670977597452,67.06843602242652,21.171894135098768
Estonia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,121.47896060488866,215.2785732945487,62.309180632430795
Ethiopia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,173.3331827416657,251.63695641847545,113.66901350669133
Finland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,39.58403511241824,68.02736866018127,20.847046123217773
Fiji,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,229.13606892463875,386.94375349751596,118.36112425474029
France,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,39.01765186103131,67.35049519077724,21.477394817946315
Micronesia (Federated States of),All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,225.98422750134532,378.3509110300106,125.27203406145993
Gabon,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,250.78953131649504,389.27669431750684,154.81330694748158
United Kingdom,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,43.59552348337197,74.22395370582144,24.298857470348683
Georgia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,161.32625549255494,263.5124426547867,86.74353752403462
Ghana,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,185.072735572871,274.14538685348856,115.29624248968078
Guinea,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,403.3616287577043,582.7483184835093,257.14878042167715
Gambia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,202.4017329699456,304.44984532034914,128.9876638147708
Guinea-Bissau,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,268.5592578165567,411.7219414785832,161.8391878442516
Equatorial Guinea,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,216.716952064296,342.30690374176555,131.83237495903631
Greece,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,44.127462637002616,75.43180047406673,24.36912298096972
Grenada,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,302.01305399648965,467.8646455607009,177.00212601836282
Greenland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,137.64647688527842,230.0149579803035,72.79981393427873
Guatemala,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,125.09728168832474,199.39329193031335,71.78804275388275
Guam,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,174.79074882890464,270.07153891288874,103.14166059646928
Guyana,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,205.34008151601793,344.2791462804533,107.6096881013029
Honduras,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,124.90342125085671,203.67181738300062,69.81545476397051
Croatia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,122.56752220567515,218.06059902583274,59.84279357594076
Haiti,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,371.9907529516776,554.1554429814602,236.52271660695763
Hungary,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,60.087943750290314,105.81364629519564,29.697703676847283
Indonesia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,212.22456394473886,332.5084303510967,124.85514337423767
India,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,212.88425766255733,329.8463558830583,130.45899540069587
Ireland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Acinetobacter baumannii,Bacteria,All infectious syndromes,2019,29.429298777235804,50.67348422116392,15.766571649222751
