Location,Age,Sex,Measure,Metric,Pathogen,Pathogen Type,Infectious syndrome,Year,Value,Upper,Lower
Afghanistan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,23.33936191313606,54.81235007507968,7.853987908143876
Angola,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,69.876395856683,147.29521608493206,25.128045630901575
Albania,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,1.5859994529508292,3.4076227498905243,0.5724812349627022
Andorra,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,0.03892209763350269,0.07973477010207068,0.014667468049256314
United Arab Emirates,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,1.3221768997802978,3.6226149331030975,0.451125038565851
Argentina,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,0.36607018637080535,0.631529127988512,0.1786471445775711
Armenia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,1.7153748644561282,3.2650499768506913,0.7459177581012866
American Samoa,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,1.572995272308598,3.281352757085499,0.5905807487133152
Antigua and Barbuda,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,0.2584601403785179,0.4917546385309691,0.12028632873282209
Australia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Aeromonas spp.,Bacteria,All infectious syndromes,2019,0.10246414014410465,0.18522926457328034,0.048271982804954275
