Location,Age,Sex,Measure,Metric,Pathogen,Pathogen Type,Infectious syndrome,Year,Value,Upper,Lower
Afghanistan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Campylobacter spp.,Bacteria,All infectious syndromes,2019,25.6049747048084,57.81361568964025,7.677580838673922
Angola,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Campylobacter spp.,Bacteria,All infectious syndromes,2019,147.43043470206496,341.3220241413465,48.965545316492296
Albania,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Campylobacter spp.,Bacteria,All infectious syndromes,2019,14.051126648001249,40.23965954097033,2.589840140289801
Andorra,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Campylobacter spp.,Bacteria,All infectious syndromes,2019,6.753680233077452,17.992028856104557,1.4240382559537728
United Arab Emirates,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Campylobacter spp.,Bacteria,All infectious syndromes,2019,2.6445669124003035,8.558784895955503,0.43590360381800036
Argentina,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Campylobacter spp.,Bacteria,All infectious syndromes,2019,2.8773100174390382,7.167162216888052,0.7470512724292887
Armenia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Campylobacter spp.,Bacteria,All infectious syndromes,2019,14.468314162201262,34.85716169904594,3.5654169954020505
American Samoa,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Campylobacter spp.,Bacteria,All infectious syndromes,2019,29.169405852744376,78.26293513909849,6.5372472512903235
Antigua and Barbuda,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Campylobacter spp.,Bacteria,All infectious syndromes,2019,3.889217026980316,9.885746572865944,0.8664436837950609
Australia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Campylobacter spp.,Bacteria,All infectious syndromes,2019,2.872900812515025,6.967405622192838,0.561658472256807
Austria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Campylobacter spp.,Bacteria,All infectious syndromes,2019,13.277473561719807,27.37470626615081,3.876794942989197
Azerbaijan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Campylobacter spp.,Bacteria,All infectious syndromes,2019,16.69409671544348,41.87886356499389,4.636830246886299
Burundi,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Campylobacter spp.,Bacteria,All infectious syndromes,2019,565.0630810423305,1551.819091046206,145.1065675817828
Belgium,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Campylobacter spp.,Bacteria,All infectious syndromes,2019,19.24252006812991,44.17202656712819,4.454659850710449
Benin,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Campylobacter spp.,Bacteria,All infectious syndromes,2019,133.9901119392903,374.6543197414558,32.46805420043341
