Location,Age,Sex,Measure,Metric,Pathogen,Pathogen Type,Infectious syndrome,Year,Value,Upper,Lower
Afghanistan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Chlamydia spp.,Bacteria,All infectious syndromes,2019,151.50554290115102,223.5109978408781,98.31649488481679
Angola,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Chlamydia spp.,Bacteria,All infectious syndromes,2019,129.8939027674032,189.7739987692403,83.4603968431795
Albania,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Chlamydia spp.,Bacteria,All infectious syndromes,2019,9.419144204819188,12.674413538871654,6.940212659795366
Andorra,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Chlamydia spp.,Bacteria,All infectious syndromes,2019,6.2778896274633516,8.750468866530246,4.42029226332116
United Arab Emirates,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Chlamydia spp.,Bacteria,All infectious syndromes,2019,7.431060628849344,11.429351250582727,4.7587422378560715
Argentina,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Chlamydia spp.,Bacteria,All infectious syndromes,2019,29.752976272449168,36.304178151715135,24.882280966037467
Armenia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Chlamydia spp.,Bacteria,All infectious syndromes,2019,14.135172785893348,18.38209291043455,10.746645691112654
American Samoa,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Chlamydia spp.,Bacteria,All infectious syndromes,2019,28.842410968996564,44.124170853384356,17.386469848113197
Antigua and Barbuda,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Chlamydia spp.,Bacteria,All infectious syndromes,2019,35.71657076895156,49.93050048952676,25.541390082024503
Australia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Chlamydia spp.,Bacteria,All infectious syndromes,2019,4.839149735972765,6.531345320992482,3.595078188912533
Austria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Chlamydia spp.,Bacteria,All infectious syndromes,2019,5.19541522254836,7.3475962562292105,3.7554594522724494
Azerbaijan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Chlamydia spp.,Bacteria,All infectious syndromes,2019,41.08888156488581,56.61310462828621,29.138325677799056
Burundi,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Chlamydia spp.,Bacteria,All infectious syndromes,2019,109.26698181397897,162.30971828124632,69.9715575013628
Belgium,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Chlamydia spp.,Bacteria,All infectious syndromes,2019,11.024005779758626,13.246330091274285,9.17768758343916
Benin,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Chlamydia spp.,Bacteria,All infectious syndromes,2019,175.85196431607147,258.1118534508555,113.21020759990931
Burkina Faso,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Chlamydia spp.,Bacteria,All infectious syndromes,2019,192.2837554298891,278.67084501825144,130.17191531198253
Bangladesh,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Chlamydia spp.,Bacteria,All infectious syndromes,2019,32.81805415462891,46.13116240888342,22.418851799007516
Bulgaria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Chlamydia spp.,Bacteria,All infectious syndromes,2019,17.04739184916193,23.862164893981905,12.149785318989347
Bahrain,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Chlamydia spp.,Bacteria,All infectious syndromes,2019,4.529019409682695,6.472199296624588,3.1829059004387044
Bahamas,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Chlamydia spp.,Bacteria,All infectious syndromes,2019,18.13495416352875,25.61200235257267,13.12511806252998
Bosnia and Herzegovina,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Chlamydia spp.,Bacteria,All infectious syndromes,2019,14.150198712877764,21.770561463486008,8.84179310392025
Belarus,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Chlamydia spp.,Bacteria,All infectious syndromes,2019,11.360075459489968,17.30961217115242,7.440307201791492
Belize,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Chlamydia spp.,Bacteria,All infectious syndromes,2019,53.51128149745086,73.18969771487748,38.043279836463796
Bermuda,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Chlamydia spp.,Bacteria,All infectious syndromes,2019,9.563537972326202,14.1952466280636,6.011115644644801
