Location,Age,Sex,Measure,Metric,Pathogen,Pathogen Type,Infectious syndrome,Year,Value,Upper,Lower
Afghanistan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,36.881174563633195,60.29359541015273,20.64402430763327
Angola,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,44.55837424198308,71.39096388088848,25.88650076716723
Albania,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,9.967856509287108,19.979681872931025,4.435832334339307
Andorra,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,9.530111061645107,16.1437483698353,5.222256033852091
United Arab Emirates,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,5.2585844756183,9.241432832169512,2.6727143074505086
Argentina,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,14.986087438627838,21.63951285322432,9.826118120509436
Armenia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,18.481062742456587,26.482382943411206,11.961862443318779
American Samoa,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,30.21541130907147,48.80492030918459,17.8385788219238
Antigua and Barbuda,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,23.405858104442412,37.60116642512518,13.042486265146314
Australia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,6.789768014442777,10.043734616491339,4.256003868884719
Austria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,10.846099862907277,19.162823851653382,5.741835326363941
Azerbaijan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,16.518180207615146,26.313198287252497,9.745991780977642
Burundi,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,27.165599633694967,44.279053971298296,15.473532726569946
Belgium,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,10.902804989694081,17.468380805579322,6.6300471516705155
Benin,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,39.0507722728772,64.08963957341702,21.513040925760063
Burkina Faso,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,46.17497059626067,76.09636659591192,25.351814067721918
Bangladesh,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,15.899303771713683,24.819062410295597,9.558460340620886
Bulgaria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,23.211686082566725,41.50325688007988,11.62976325371397
Bahrain,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,6.2058906057298096,9.950955877211332,3.5139886968732577
Bahamas,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,14.932836158976478,23.314340806583484,9.146964824296862
Bosnia and Herzegovina,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,35.42448077218351,76.38669760642631,14.037112766204459
Belarus,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,32.06196408087681,67.34852662113308,13.142674610517574
Belize,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,26.730713460856364,41.388467662582016,15.885651006460245
Bermuda,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,17.357427029282444,27.99732462717182,9.392365647547752
Bolivia (Plurinational State of),All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,26.62367167942529,40.40751544003853,16.412988415595162
Brazil,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,17.88137278127505,25.527559035016022,11.917463822368859
Barbados,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,18.831671025699595,27.837121586919885,12.01747269248116
Brunei Darussalam,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,19.858507199808592,31.54010811523741,11.512197474581507
Bhutan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,39.31692727639493,64.61220399492395,22.219454666167316
Botswana,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,25.05525223139994,39.539753834495414,15.2030919032839
Central African Republic,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,51.14407761361965,83.00756723192757,28.173931691116245
Canada,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,8.969762857252787,13.166968867861248,5.674151175519786
Switzerland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,7.6923107800872375,12.94261381585028,4.449275759932007
Chile,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,12.500364209438569,17.88322850695781,8.210886650626943
Côte d'Ivoire,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Citrobacter spp.,Bacteria,All infectious syndromes,2019,33.74306229030536,54.38355500783783,19.64175708398236
