Location,Age,Sex,Measure,Metric,Pathogen,Pathogen Type,Infectious syndrome,Year,Value,Upper,Lower
Afghanistan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Clostridioides difficile,Bacteria,All infectious syndromes,2019,8.450294630277535,29.268818858954994,1.5589779860074842
Angola,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Clostridioides difficile,Bacteria,All infectious syndromes,2019,5.14043755771337,13.21782038768014,1.4053789750428378
Albania,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Clostridioides difficile,Bacteria,All infectious syndromes,2019,75.15686047495844,173.4442841911801,23.09525099003142
Andorra,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Clostridioides difficile,Bacteria,All infectious syndromes,2019,41.263807117244475,75.63076808314723,21.46851771433157
United Arab Emirates,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Clostridioides difficile,Bacteria,All infectious syndromes,2019,42.00598986482917,116.19581060992273,15.78174040766015
Argentina,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Clostridioides difficile,Bacteria,All infectious syndromes,2019,51.969194613503994,74.7298375995483,33.640652246191095
Armenia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Clostridioides difficile,Bacteria,All infectious syndromes,2019,78.72098959323881,127.30188251352253,41.7251405328016
American Samoa,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Clostridioides difficile,Bacteria,All infectious syndromes,2019,45.08407229601144,100.01433442487688,16.639645710253
Antigua and Barbuda,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Clostridioides difficile,Bacteria,All infectious syndromes,2019,39.72808029582521,62.795383845908155,22.48454333287776
Australia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Clostridioides difficile,Bacteria,All infectious syndromes,2019,36.63206601536331,51.0378689617666,24.331366638692806
Austria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Clostridioides difficile,Bacteria,All infectious syndromes,2019,43.63132676287968,63.66021147365486,28.025827451783773
