Location,Age,Sex,Measure,Metric,Pathogen,Pathogen Type,Infectious syndrome,Year,Value,Upper,Lower
Afghanistan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,213.04498576139477,305.272259597163,144.7652458129632
Angola,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,228.8054290727792,323.48751485680157,155.67330537368687
Albania,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,38.2244592893202,61.1823866928884,22.758334036256056
Andorra,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,40.738060580171094,64.00191396575289,24.541796907977233
United Arab Emirates,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,35.592931333872066,62.60939755484649,19.13691278610405
Argentina,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,101.10749150684039,138.36570500793255,70.67661801273282
Armenia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,97.67139625467584,137.62809317417168,64.7764956820061
American Samoa,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,198.8225826741518,300.4485950723686,123.22205724885032
Antigua and Barbuda,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,160.68500611743042,246.28289287082202,95.62618118238059
Australia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,48.42407818005384,71.66220197195345,30.29348003873363
Austria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,43.005117006639296,63.66480645358881,26.83343908923369
Azerbaijan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,107.88909728486348,161.00366672295112,70.40812794412705
Burundi,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,146.2355942197061,210.67378337419453,96.14065800162707
Belgium,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,52.059315211788736,72.40645121508521,36.5440103803739
Benin,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,228.89431557888506,333.4341634160699,153.2774342976525
Burkina Faso,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,249.7897556909019,349.2497807106199,169.16225161026256
Bangladesh,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,90.10879227989228,133.59780987850445,59.73907360264982
Bulgaria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,95.64327474803851,150.1179787597408,57.040992882770475
Bahrain,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,37.721974647676035,60.33474902742638,22.4714546317054
Bahamas,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,92.40434633563414,138.59459031373677,60.05564328167991
Bosnia and Herzegovina,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,98.8351584519722,164.0972222546665,54.68388423890243
Belarus,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,102.95868619814249,168.8858766077361,60.67564383611923
Belize,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,159.48343105882603,232.4001719263501,101.58799148067554
Bermuda,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,157.83201647294388,250.96080936114063,91.93802175387032
Bolivia (Plurinational State of),All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,149.35611980087594,214.064090899054,100.80640535594661
Brazil,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,101.52072734530418,141.53530658272462,70.39692335162115
Barbados,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,124.28335874895427,181.55299655088288,82.00034286253738
Brunei Darussalam,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,132.69092592214778,204.17320101450792,80.3732587682956
Bhutan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,210.77985999543208,338.9330710425806,128.95376990982777
Botswana,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterobacter spp.,Bacteria,All infectious syndromes,2019,160.8648799510784,238.5653324225823,109.89831994908278
