Location,Age,Sex,Measure,Metric,Pathogen,Pathogen Type,Infectious syndrome,Year,Value,Upper,Lower
Afghanistan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecalis,Bacteria,All infectious syndromes,2019,131.20508417061166,204.4917499255538,79.60080929796554
Angola,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecalis,Bacteria,All infectious syndromes,2019,124.3894899927,183.21701075515568,79.35507885347924
Albania,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecalis,Bacteria,All infectious syndromes,2019,65.77494179614993,110.56832290101137,34.74008265719593
Andorra,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecalis,Bacteria,All infectious syndromes,2019,74.57485259054633,120.9978748200947,43.005306804740954
United Arab Emirates,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecalis,Bacteria,All infectious syndromes,2019,32.78623210193526,58.07015046958899,17.753407046581337
Argentina,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecalis,Bacteria,All infectious syndromes,2019,84.11714786616373,122.04477252839698,54.761307974169924
Armenia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecalis,Bacteria,All infectious syndromes,2019,109.51598344423675,161.87230274673342,69.57031412432246
American Samoa,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecalis,Bacteria,All infectious syndromes,2019,73.75080349817416,113.59981620878007,44.956388838562084
Antigua and Barbuda,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecalis,Bacteria,All infectious syndromes,2019,66.80319479080133,103.63011832287643,40.504510710125615
Australia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecalis,Bacteria,All infectious syndromes,2019,48.4349467793457,74.72784806725372,29.73740965511812
Austria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecalis,Bacteria,All infectious syndromes,2019,71.74248167689655,109.80030046946509,42.44193690741005
Azerbaijan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecalis,Bacteria,All infectious syndromes,2019,86.77620213821066,132.37499161650697,51.09048115014989
Burundi,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecalis,Bacteria,All infectious syndromes,2019,145.72862445215597,212.2671240026093,91.3147840785228
Belgium,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecalis,Bacteria,All infectious syndromes,2019,85.59705959555282,129.4073923864515,54.183089975314104
Benin,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecalis,Bacteria,All infectious syndromes,2019,163.6496478022077,248.01911349695607,101.69372417055492
Burkina Faso,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecalis,Bacteria,All infectious syndromes,2019,199.32118291963374,288.7139740660728,128.78061412654716
Bangladesh,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecalis,Bacteria,All infectious syndromes,2019,93.14400703967058,142.30425938388785,58.602062424323506
Bulgaria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecalis,Bacteria,All infectious syndromes,2019,152.83794020983873,249.82190409426735,85.19323351866532
Bahrain,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecalis,Bacteria,All infectious syndromes,2019,38.849984516391814,63.920380583977696,21.9681207017223
Bahamas,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecalis,Bacteria,All infectious syndromes,2019,90.76353530748696,138.79516751622808,57.20469066243004
Bosnia and Herzegovina,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecalis,Bacteria,All infectious syndromes,2019,94.56028043987625,154.9139431176496,51.257738062060184
Belarus,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecalis,Bacteria,All infectious syndromes,2019,111.78793484644741,181.89654660424648,64.35351840219957
Belize,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecalis,Bacteria,All infectious syndromes,2019,67.58588887251966,100.60372131585771,42.963576807629806
Bermuda,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecalis,Bacteria,All infectious syndromes,2019,55.27377606110304,89.3850618580077,31.670516190851206
Bolivia (Plurinational State of),All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecalis,Bacteria,All infectious syndromes,2019,129.94209314628787,190.5069784592199,84.50229982456348
Brazil,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecalis,Bacteria,All infectious syndromes,2019,92.97202297401971,131.01590258102772,63.122019676739995
Barbados,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecalis,Bacteria,All infectious syndromes,2019,120.06988794372735,184.56576926973148,77.26043292389677
Brunei Darussalam,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecalis,Bacteria,All infectious syndromes,2019,49.088142441728046,73.74012432264657,30.776030382199227
Bhutan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecalis,Bacteria,All infectious syndromes,2019,90.35998561643503,153.04024716076677,51.80338810566839
Botswana,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecalis,Bacteria,All infectious syndromes,2019,122.70024596952786,190.52075606443853,76.30936719793613
Central African Republic,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecalis,Bacteria,All infectious syndromes,2019,165.21653886928937,255.8880961098264,101.87479296505406
Canada,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecalis,Bacteria,All infectious syndromes,2019,58.49199504391015,90.4717507276279,36.00161738033478
Switzerland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecalis,Bacteria,All infectious syndromes,2019,59.52795333694634,89.29876823219266,37.38067345758433
Chile,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecalis,Bacteria,All infectious syndromes,2019,82.4215426999419,121.48314709927001,52.82473130167424
Côte d'Ivoire,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecalis,Bacteria,All infectious syndromes,2019,146.55387217656926,217.88988044016392,95.89251015512707
Cameroon,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecalis,Bacteria,All infectious syndromes,2019,128.13071296445932,187.5546734343219,83.66340061717271
Democratic Republic of the Congo,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecalis,Bacteria,All infectious syndromes,2019,118.52256162817939,173.46223909848044,76.63179496752348
Congo,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecalis,Bacteria,All infectious syndromes,2019,104.42369748602975,155.06315322067957,64.66008544522741
Cook Islands,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecalis,Bacteria,All infectious syndromes,2019,61.69836202765537,98.75466354126901,34.75347816022825
Colombia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecalis,Bacteria,All infectious syndromes,2019,63.531196544046026,98.57228227164879,38.40851704735779
Comoros,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecalis,Bacteria,All infectious syndromes,2019,105.90895107717472,162.35522809985522,64.0544273314157
Cabo Verde,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecalis,Bacteria,All infectious syndromes,2019,66.77198817325792,101.09192962342277,40.200796747901414
Costa Rica,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecalis,Bacteria,All infectious syndromes,2019,70.03244980289838,113.07326741280556,39.781945669760006
