Location,Age,Sex,Measure,Metric,Pathogen,Pathogen Type,Infectious syndrome,Year,Value,Upper,Lower
Afghanistan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecium,Bacteria,All infectious syndromes,2019,79.85249992543338,128.24367171826452,44.19290731932562
Angola,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecium,Bacteria,All infectious syndromes,2019,74.72589379240831,123.12372735047505,44.97411497402484
Albania,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecium,Bacteria,All infectious syndromes,2019,71.78428634917907,118.68473999472951,38.663447831546144
Andorra,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecium,Bacteria,All infectious syndromes,2019,84.13105658948885,137.86843975277463,48.814643984063075
United Arab Emirates,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecium,Bacteria,All infectious syndromes,2019,38.2012236124118,67.31392578469777,19.49668848668901
Argentina,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecium,Bacteria,All infectious syndromes,2019,88.55519996676237,130.59855954342876,55.96040609490314
Armenia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecium,Bacteria,All infectious syndromes,2019,114.65422551917396,176.3113317850445,69.7721761255879
American Samoa,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecium,Bacteria,All infectious syndromes,2019,65.4645940709885,101.89158981362672,38.382178787637145
Antigua and Barbuda,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecium,Bacteria,All infectious syndromes,2019,63.76719011492983,98.5768098653065,37.979586975523844
Australia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecium,Bacteria,All infectious syndromes,2019,62.21474005233367,94.48151966945063,37.788776742161346
Austria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecium,Bacteria,All infectious syndromes,2019,80.77429271693896,121.7622327777814,49.72288684403966
Azerbaijan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecium,Bacteria,All infectious syndromes,2019,90.91857925389664,144.7905548280791,52.70764868569432
Burundi,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecium,Bacteria,All infectious syndromes,2019,87.25098985272308,139.8323696083492,51.628484780780106
Belgium,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecium,Bacteria,All infectious syndromes,2019,92.82194030286239,137.1488812642399,58.375278830738374
Benin,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecium,Bacteria,All infectious syndromes,2019,95.77607794417932,157.29096368811915,56.11805477630169
Burkina Faso,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecium,Bacteria,All infectious syndromes,2019,121.04308674731777,191.8533367694327,75.35730078772634
Bangladesh,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecium,Bacteria,All infectious syndromes,2019,73.54817825063536,118.4265289797983,43.46851765429369
Bulgaria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecium,Bacteria,All infectious syndromes,2019,161.5807830897414,253.8047913778031,91.48327579476828
Bahrain,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecium,Bacteria,All infectious syndromes,2019,46.658853698810965,78.02913630836744,26.44980742388111
Bahamas,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecium,Bacteria,All infectious syndromes,2019,89.69829979625464,142.04396848769088,53.95101018648527
Bosnia and Herzegovina,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecium,Bacteria,All infectious syndromes,2019,94.74223005366919,148.92260779705887,53.577473396187145
Belarus,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecium,Bacteria,All infectious syndromes,2019,105.94487241381641,172.28897807520033,61.428262526675326
Belize,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecium,Bacteria,All infectious syndromes,2019,56.78516871832418,89.00220381643273,33.288617248780504
Bermuda,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecium,Bacteria,All infectious syndromes,2019,61.032428801950815,95.08640983332648,36.013210175020106
Bolivia (Plurinational State of),All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecium,Bacteria,All infectious syndromes,2019,110.78584554340169,164.84562908206888,68.76380317220529
Brazil,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecium,Bacteria,All infectious syndromes,2019,87.86223105021715,130.4061598227705,56.02680498254216
Barbados,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecium,Bacteria,All infectious syndromes,2019,112.43323313923887,172.07329836707825,68.26223636536194
Brunei Darussalam,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecium,Bacteria,All infectious syndromes,2019,47.677250848820265,73.3722871819619,28.152208044369274
Bhutan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecium,Bacteria,All infectious syndromes,2019,70.59165940034944,121.34231016536863,39.06413793860409
Botswana,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecium,Bacteria,All infectious syndromes,2019,104.61582812859864,166.48364798426573,63.48925686327872
Central African Republic,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecium,Bacteria,All infectious syndromes,2019,90.91578718616779,157.86956736507435,50.75902450026355
Canada,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecium,Bacteria,All infectious syndromes,2019,73.1316851386946,108.76527380117368,45.190068633737354
Switzerland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecium,Bacteria,All infectious syndromes,2019,67.0344713537395,99.91791960092033,42.35450428921105
Chile,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecium,Bacteria,All infectious syndromes,2019,90.1854607439044,130.86529648124392,57.09608778226903
Côte d'Ivoire,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecium,Bacteria,All infectious syndromes,2019,83.23396655484315,135.41987105934163,50.06725024543458
Cameroon,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecium,Bacteria,All infectious syndromes,2019,81.67723659620657,130.2082155602878,49.535474236749806
Democratic Republic of the Congo,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecium,Bacteria,All infectious syndromes,2019,72.45599010242906,117.93125790587567,44.028239149742106
Congo,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecium,Bacteria,All infectious syndromes,2019,71.27116166680979,117.67303820581732,42.31583924978908
Cook Islands,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Enterococcus faecium,Bacteria,All infectious syndromes,2019,70.0117318255852,107.23241125185372,41.558794025950675
