Location,Age,Sex,Measure,Metric,Pathogen,Pathogen Type,Infectious syndrome,Year,Value,Upper,Lower
Afghanistan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Escherichia coli,Bacteria,All infectious syndromes,2019,836.0276005093666,1127.779748109224,605.6421928009389
Angola,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Escherichia coli,Bacteria,All infectious syndromes,2019,675.3692116365107,897.0199959522064,488.38858526932876
Albania,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Escherichia coli,Bacteria,All infectious syndromes,2019,350.18742341632895,566.7652834140957,197.23443274734174
Andorra,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Escherichia coli,Bacteria,All infectious syndromes,2019,344.1707849321306,541.161464844131,210.65801407215318
United Arab Emirates,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Escherichia coli,Bacteria,All infectious syndromes,2019,111.28066065476243,188.56212354631708,64.41989393473607
Argentina,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Escherichia coli,Bacteria,All infectious syndromes,2019,345.79780629907765,458.31997197666965,254.9963445457013
Armenia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Escherichia coli,Bacteria,All infectious syndromes,2019,397.25086516248206,552.5692615199564,271.91155528379676
American Samoa,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Escherichia coli,Bacteria,All infectious syndromes,2019,255.10405816989885,360.6306649554565,172.02302900067826
Antigua and Barbuda,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Escherichia coli,Bacteria,All infectious syndromes,2019,216.178540531943,304.3607856740785,147.310816234889
Australia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Escherichia coli,Bacteria,All infectious syndromes,2019,178.27586091117516,253.3524733568244,119.80050828237539
Austria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Escherichia coli,Bacteria,All infectious syndromes,2019,315.72092571686704,474.78187527387837,200.54109717007333
Azerbaijan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Escherichia coli,Bacteria,All infectious syndromes,2019,358.33079396221143,507.5130683876547,245.63099257918384
Burundi,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Escherichia coli,Bacteria,All infectious syndromes,2019,961.6257407711488,1393.9617186916462,650.3998886027646
Belgium,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Escherichia coli,Bacteria,All infectious syndromes,2019,419.7694891842003,598.7283517968118,280.4746125587891
Benin,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Escherichia coli,Bacteria,All infectious syndromes,2019,1022.7493206345207,1405.5544087329888,717.4417913179478
Burkina Faso,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Escherichia coli,Bacteria,All infectious syndromes,2019,1332.9381207017498,1805.8166051980234,969.9787867214005
Bangladesh,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Escherichia coli,Bacteria,All infectious syndromes,2019,331.11564668489666,467.68969910946254,230.00174500417202
Bulgaria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Escherichia coli,Bacteria,All infectious syndromes,2019,692.2662658606865,1094.3858898303654,389.9466887853971
Bahrain,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Escherichia coli,Bacteria,All infectious syndromes,2019,129.87563860654345,204.82822085967038,79.8728318309706
Bahamas,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Escherichia coli,Bacteria,All infectious syndromes,2019,313.05059251810167,456.5150304045247,209.02738882460173
Bosnia and Herzegovina,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Escherichia coli,Bacteria,All infectious syndromes,2019,342.84467919979704,537.4112526638935,197.91980726789777
Belarus,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Escherichia coli,Bacteria,All infectious syndromes,2019,370.18867429154795,586.4197251399618,225.0228935296541
Belize,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Escherichia coli,Bacteria,All infectious syndromes,2019,215.65737517026466,299.60801967907037,149.20429111247248
Bermuda,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Escherichia coli,Bacteria,All infectious syndromes,2019,173.32152794465955,256.1104217664342,113.97606511403394
Bolivia (Plurinational State of),All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Escherichia coli,Bacteria,All infectious syndromes,2019,485.60822350859206,669.7741910672668,340.39564999460583
Brazil,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Escherichia coli,Bacteria,All infectious syndromes,2019,340.27164003639615,448.459499979387,249.94025464325347
Barbados,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Escherichia coli,Bacteria,All infectious syndromes,2019,470.6570494876069,645.2034951516138,335.27796199639164
Brunei Darussalam,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Escherichia coli,Bacteria,All infectious syndromes,2019,154.2893677367436,216.53129732598893,105.86705066337339
Bhutan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Escherichia coli,Bacteria,All infectious syndromes,2019,310.59404169678066,457.6208702576042,204.6323593270991
Botswana,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Escherichia coli,Bacteria,All infectious syndromes,2019,487.1597420617667,696.0063929255384,342.45324743733426
Central African Republic,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Escherichia coli,Bacteria,All infectious syndromes,2019,1637.6058894098248,2240.7500200062,1180.8092221420175
