Location,Age,Sex,Measure,Metric,Pathogen,Pathogen Type,Infectious syndrome,Year,Value,Upper,Lower
Afghanistan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Group A Streptococcus,Bacteria,All infectious syndromes,2019,162.89362733120456,257.07567036092667,97.78840792259025
Angola,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Group A Streptococcus,Bacteria,All infectious syndromes,2019,128.10868337677203,197.2866163955142,80.48216956911183
Albania,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Group A Streptococcus,Bacteria,All infectious syndromes,2019,77.55603260625836,142.63930170488567,37.84363471090299
Andorra,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Group A Streptococcus,Bacteria,All infectious syndromes,2019,59.93083309649414,105.72499073350298,30.716914182574367
United Arab Emirates,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Group A Streptococcus,Bacteria,All infectious syndromes,2019,42.38988990023462,80.545541809816,20.318854999728263
Argentina,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Group A Streptococcus,Bacteria,All infectious syndromes,2019,86.0461881004283,134.10830435627818,56.55734205777371
Armenia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Group A Streptococcus,Bacteria,All infectious syndromes,2019,66.99790384586672,120.53268926222819,35.21308572228917
American Samoa,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Group A Streptococcus,Bacteria,All infectious syndromes,2019,128.13581697570254,195.3215283480691,83.12310978439766
Antigua and Barbuda,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Group A Streptococcus,Bacteria,All infectious syndromes,2019,117.00395553279044,192.6841651759603,71.09044152969503
Australia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Group A Streptococcus,Bacteria,All infectious syndromes,2019,52.17043394428791,86.13343150614844,30.74304302388384
