Location,Age,Sex,Measure,Metric,Pathogen,Pathogen Type,Infectious syndrome,Year,Value,Upper,Lower
Afghanistan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Group B Streptococcus,Bacteria,All infectious syndromes,2019,783.7899758999806,1081.9315960758775,533.2980390225441
Angola,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Group B Streptococcus,Bacteria,All infectious syndromes,2019,769.1347881475717,1052.3756578719763,531.9652920687763
Albania,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Group B Streptococcus,Bacteria,All infectious syndromes,2019,53.974159373114425,84.72710258642181,31.90086942269715
Andorra,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Group B Streptococcus,Bacteria,All infectious syndromes,2019,47.99766353934839,76.02082184364048,28.29132079382674
United Arab Emirates,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Group B Streptococcus,Bacteria,All infectious syndromes,2019,42.93488484710083,74.45053403231078,23.775809827017966
Argentina,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Group B Streptococcus,Bacteria,All infectious syndromes,2019,107.47053091417452,143.8663960258785,79.40332696172447
Armenia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Group B Streptococcus,Bacteria,All infectious syndromes,2019,87.33221220768661,126.17922104367072,58.701908376315224
American Samoa,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Group B Streptococcus,Bacteria,All infectious syndromes,2019,198.5841744752094,300.27942839053196,120.76346651283987
Antigua and Barbuda,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Group B Streptococcus,Bacteria,All infectious syndromes,2019,78.88100947496004,117.76218129948259,50.93709957689271
Australia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Group B Streptococcus,Bacteria,All infectious syndromes,2019,55.12015088487319,83.04917973988007,34.297243834180634
