Location,Age,Sex,Measure,Metric,Pathogen,Pathogen Type,Infectious syndrome,Year,Value,Upper,Lower
Afghanistan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Haemophilus influenzae,Bacteria,All infectious syndromes,2019,271.8127854045124,368.9966483429523,190.73461109449826
Angola,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Haemophilus influenzae,Bacteria,All infectious syndromes,2019,206.58035349292595,281.90794072323934,144.96792609507864
Albania,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Haemophilus influenzae,Bacteria,All infectious syndromes,2019,18.038534155710614,23.43012667865062,13.814075079507262
Andorra,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Haemophilus influenzae,Bacteria,All infectious syndromes,2019,8.552601210317802,12.096306646221368,5.8211949491721935
United Arab Emirates,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Haemophilus influenzae,Bacteria,All infectious syndromes,2019,10.761449307360953,16.398538715484854,7.004515333221227
Argentina,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Haemophilus influenzae,Bacteria,All infectious syndromes,2019,39.19030502779692,47.0092397798852,33.3964943879024
Armenia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Haemophilus influenzae,Bacteria,All infectious syndromes,2019,23.439480794224718,29.74999390871388,18.249622114675518
American Samoa,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Haemophilus influenzae,Bacteria,All infectious syndromes,2019,40.84707645268241,57.650458532201355,27.88689683282672
Antigua and Barbuda,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Haemophilus influenzae,Bacteria,All infectious syndromes,2019,24.058057029244342,32.59514643077029,17.17043857064173
Australia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Haemophilus influenzae,Bacteria,All infectious syndromes,2019,7.131939489104707,9.81094834607842,5.213051927125345
Austria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Haemophilus influenzae,Bacteria,All infectious syndromes,2019,6.9163719575478035,9.712712303819007,4.946995621846866
Azerbaijan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Haemophilus influenzae,Bacteria,All infectious syndromes,2019,68.11895661976052,90.05235278638872,50.00299674973859
Burundi,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Haemophilus influenzae,Bacteria,All infectious syndromes,2019,171.84592747255346,256.8038064789652,113.76512562431094
Belgium,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Haemophilus influenzae,Bacteria,All infectious syndromes,2019,14.973595713001673,18.125807842552952,12.393555868076193
Benin,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Haemophilus influenzae,Bacteria,All infectious syndromes,2019,305.6734678152626,422.983083574147,211.09080015058083
Burkina Faso,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Haemophilus influenzae,Bacteria,All infectious syndromes,2019,391.33142397649226,529.213013242926,278.45963896335655
Bangladesh,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Haemophilus influenzae,Bacteria,All infectious syndromes,2019,49.270764969001426,65.15049794539334,36.52583834564224
Bulgaria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Haemophilus influenzae,Bacteria,All infectious syndromes,2019,24.65083149444105,33.927704440449006,17.30848606332514
Bahrain,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Haemophilus influenzae,Bacteria,All infectious syndromes,2019,7.165780215022496,10.162989879081785,4.965876194993261
Bahamas,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Haemophilus influenzae,Bacteria,All infectious syndromes,2019,25.42277324061174,35.13170284471437,18.835340407289582
Bosnia and Herzegovina,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Haemophilus influenzae,Bacteria,All infectious syndromes,2019,15.211208145731332,23.956976661422225,8.840928232682002
Belarus,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Haemophilus influenzae,Bacteria,All infectious syndromes,2019,15.281839076417558,21.60337947842257,10.807077538744577
Belize,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Haemophilus influenzae,Bacteria,All infectious syndromes,2019,36.350673558501384,47.80475722135937,27.220840060043646
Bermuda,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Haemophilus influenzae,Bacteria,All infectious syndromes,2019,12.655654165923417,17.56843563555801,8.99686317093614
Bolivia (Plurinational State of),All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Haemophilus influenzae,Bacteria,All infectious syndromes,2019,97.88512754957227,128.09104245495556,72.90306658756838
Brazil,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Haemophilus influenzae,Bacteria,All infectious syndromes,2019,36.960009265567244,46.172378926522356,29.501533777508275
Barbados,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Haemophilus influenzae,Bacteria,All infectious syndromes,2019,28.87511498914545,38.658924672041074,21.078133234649968
Brunei Darussalam,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Haemophilus influenzae,Bacteria,All infectious syndromes,2019,18.972330704816923,25.546968412186434,14.004738073027632
