Location,Age,Sex,Measure,Metric,Pathogen,Pathogen Type,Infectious syndrome,Year,Value,Upper,Lower
Afghanistan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,33.860496598276754,66.50763773222612,15.90350227148804
Angola,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,22.929251954604254,46.23969128126512,10.742934875933338
Albania,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,16.707003802699823,24.50258618461926,11.54154876868659
Andorra,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,20.49153737855687,27.614604907798903,14.740198259988635
United Arab Emirates,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,8.464416048474476,12.552669761225792,5.612454967201483
Argentina,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,35.667182597792994,45.54884115117026,29.330758256360518
Armenia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,18.637928195467563,28.09230772055396,13.093554569059616
American Samoa,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,4.537456081228619,8.51251706104949,2.271788859471172
Antigua and Barbuda,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,17.771208032500745,25.42951787417731,12.371932640924902
Australia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,14.534222427216076,19.141535907573786,11.259697663088966
Austria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,11.839133413820099,15.907374446996451,8.821521453246868
Azerbaijan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,34.846003145469275,62.53480286455657,19.610582751450192
Burundi,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,44.11751806071649,82.87418855708965,22.38544666512078
Belgium,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,34.786114802920885,41.13461501013431,29.46887076154635
Benin,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,61.32703184056691,122.8707135474041,28.241735559084976
Burkina Faso,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,74.0505527006353,145.90478343747935,36.49296770122347
Bangladesh,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,23.481410263688463,44.025939960405196,12.736646542186708
Bulgaria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,25.45928415297791,34.1910964146615,18.23142753982931
Bahrain,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,8.247418506839875,11.74205779297916,5.94242848697402
Bahamas,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,17.304907351088346,24.491864232906362,12.373246046027761
Bosnia and Herzegovina,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,7.062105932585739,11.166239926882065,4.309639613172006
Belarus,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,5.352321936461869,8.767604020626264,3.0460046973486423
Belize,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,18.724211369631142,31.348460835713013,11.391599361010432
Bermuda,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,3.8869887916815395,6.917611209240066,2.026837610471737
Bolivia (Plurinational State of),All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,38.87060939995881,68.11180042870903,22.553917157460873
Brazil,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,24.006913797800916,33.93008026118475,18.06818285945465
Barbados,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,26.673729997583244,36.148768698894486,19.53022495877039
Brunei Darussalam,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,16.838515177223265,23.817493300289364,11.873014928418728
Bhutan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Legionella spp.,Bacteria,All infectious syndromes,2019,31.034352004541596,64.31858320353973,14.849050867050604
