Location,Age,Sex,Measure,Metric,Pathogen,Pathogen Type,Infectious syndrome,Year,Value,Upper,Lower
Afghanistan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,39.53134676803276,78.37738869311845,18.051091586427276
Angola,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,27.60893721584381,41.4498440798416,16.86242143856197
Albania,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,3.6875379768162193,6.774963377010092,1.838924845421016
Andorra,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,0.801103307384143,1.7892198106586272,0.3765966881994942
United Arab Emirates,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,2.446840105221374,4.383122552676787,1.3735810875914114
Argentina,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,3.231299330599533,4.5984475630384924,2.306559697337993
Armenia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,1.1961389081627207,2.3606619270895663,0.6366058411009407
American Samoa,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,3.3208470444979135,5.183781042590809,2.1207608305051924
Antigua and Barbuda,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,3.3072177631050033,5.387179227707439,2.104340618104894
Australia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,1.1656767022808672,2.1899938119710445,0.6814012769348464
Austria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,1.3389386629424884,2.3530866761828007,0.8491164916135211
Azerbaijan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,3.5224777142154,6.27128891271727,2.0923943190210283
Burundi,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,37.8005239439302,61.69032583878569,23.29095786819163
Belgium,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,1.4853912468817119,2.5184726651241887,0.9464991240612051
Benin,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,65.35986994479548,112.16723959048974,36.837087564623246
Burkina Faso,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,111.5215148366145,210.95677702930794,53.200563499986714
Bangladesh,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,5.0162586734608094,7.47914790886077,3.315478027275674
Bulgaria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,2.820369534085552,5.405065433793942,1.5824126739716402
Bahrain,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,1.1055960564345915,1.9446340344165916,0.6720161546563006
Bahamas,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,3.844268872523857,6.680274876214769,2.2397776167350507
Bosnia and Herzegovina,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,5.225637430592874,11.293299055163782,1.9724707379607618
Belarus,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,2.2523889613959134,4.171050671787907,1.2701326161905833
Belize,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,3.3594469768046284,6.099575092291919,1.8630531616975938
Bermuda,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,1.1534459168036897,2.0613856083759665,0.6973095447803092
Bolivia (Plurinational State of),All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,5.026657267934559,8.134706285329607,2.950547426674142
Brazil,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,3.701387531618081,5.352328982441623,2.4967386475003464
Barbados,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,3.612731785138186,6.090197431803633,2.2285646837031834
Brunei Darussalam,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,1.7959191231697753,3.3270186391866092,1.067465178002839
Bhutan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,9.831247629926363,15.472715692998337,5.583118641258247
Botswana,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,16.98913925724253,25.225559186919977,10.614949699041539
Central African Republic,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,58.92918216539413,95.89475660328802,35.131253470199084
Canada,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,1.1303606499350012,2.057380973850771,0.6773930702780345
Switzerland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,0.9378378337347981,1.6826754433465771,0.5802846693987498
Chile,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,2.3057606327565687,3.4651836976620127,1.6159960701559841
Côte d'Ivoire,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,30.796519574229432,48.950036762772015,17.816764026075887
Cameroon,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,36.30825152816437,59.019550377001025,21.317838310517573
Democratic Republic of the Congo,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,24.68411595625475,38.14120169104763,16.07910165593002
Congo,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,15.802068089086513,23.528635038375807,10.265485847034439
Cook Islands,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,1.0499984960862465,2.102513343718954,0.5416252621340149
Colombia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,3.133577398185516,4.942000721883768,1.92401458351111
Comoros,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,26.136046685042434,38.33138627245654,16.16027475069102
Cabo Verde,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,8.543245626318626,11.974898707633912,6.120205658671104
Costa Rica,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,2.823985797354447,4.469809957179783,1.7760090655015273
Cuba,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,2.6218274449131407,4.06798980636168,1.7258884108080315
Cyprus,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,1.2804750227925834,2.689334938647504,0.6228601924225807
Czechia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,1.4474005067944962,2.629359238349013,0.8606121200906927
Germany,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,1.026647078743979,1.9573173915266926,0.6102288405838485
Djibouti,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,28.4165939895631,43.3844870299514,17.407480458799405
Dominica,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,5.24934646165893,9.301949482000268,2.939609481461802
Denmark,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,1.5932929695424909,2.4684511832233813,1.1376534691141003
Dominican Republic,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,8.098008551414836,12.842886610474109,4.77035743887601
Algeria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,3.1794235685832417,5.481135339459611,1.958995206257008
Ecuador,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,3.1806623573793824,5.354750108404887,1.8969428238033061
Eritrea,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,32.54363800999581,51.700104751098735,20.115789114687168
Spain,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,1.2582889471509162,2.1310341710167244,0.8115841544362205
Estonia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,1.6065738435901438,2.818223338037661,0.9645681539942517
Ethiopia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,37.54632385269505,63.90288859475004,20.22698250821031
Finland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,1.065972234478228,1.9377539254214884,0.657395006697994
Fiji,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,5.875518388764383,9.241206842117911,3.6516868257373396
France,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,1.4748209958634821,2.6976474180612846,0.8947440234596893
Micronesia (Federated States of),All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,5.299139960468927,8.384023034105226,3.0160932082540817
Gabon,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,14.749849988824284,22.256281915916666,9.558193746219969
United Kingdom,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,1.5903215522093486,2.4956916918514787,1.1165743818409164
Georgia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,2.677834359160384,4.703206814082001,1.5809784626776064
Ghana,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,35.590818318695625,51.15507661852497,22.40316917242819
Guinea,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,83.55426657517503,133.38189683869984,47.70242209130514
Gambia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,32.9965663193659,58.62191557263752,16.0969975338289
Guinea-Bissau,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,45.48330285638219,68.67133243200877,29.15686621307709
Equatorial Guinea,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,12.181469068961347,20.347553752190837,6.833448140470896
Greece,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,1.5147331388878378,2.9147781945149145,0.8651463168700605
Grenada,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,2.2213495493004283,4.265705687071571,1.239615226678371
Greenland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,6.166537231759814,9.154787407490621,4.035568142411216
Guatemala,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,4.679083207995039,7.096438613448363,2.9991432253173573
Guam,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,2.9682764913932917,4.478207192848854,1.9631711591806138
Guyana,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,4.387390987462568,8.233107406776652,2.268374010547845
Honduras,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,3.849328657954471,6.102341871539301,2.2546813987244065
Croatia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,1.4976811361162576,2.8421567504667586,0.8358590115763743
Haiti,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,45.04686154263318,72.8979991883951,25.995596368239177
Hungary,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,2.0069880779324873,3.6407177379741205,1.2111266408904828
Indonesia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,7.147585466003427,10.751189831343302,4.772154881006097
India,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,8.764587332463455,12.65260801467996,6.099624615415569
Ireland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,1.086741985566977,1.866419748001362,0.6737797506426716
Iran (Islamic Republic of),All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,2.5542671775999533,4.144316943049762,1.6993571757274055
Iraq,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,5.83593856123112,9.845813819517659,3.3999087290365457
Iceland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,1.3113637488181393,2.0362016208777614,0.8760821566641489
Israel,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,1.1982342005029452,1.9722763123826266,0.7762254511736835
Italy,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,1.0842087630713284,1.9513147699623836,0.6850795169817049
Jamaica,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,3.7163730401943322,6.831864607839639,2.031836654315227
Jordan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,3.2007390184307676,5.107548501326029,2.0487394969440333
Japan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,0.9892159310489411,1.6975491119401311,0.6479668358909524
Kazakhstan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,3.599390631117627,5.786624574800091,2.3215319643024155
Kenya,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,26.718275510815037,37.24721568594211,19.181774235393444
Kyrgyzstan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,3.315539136927799,5.093379317260802,2.1955916291597495
Cambodia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,5.159513166914752,9.470547463962097,2.7590091403184616
Kiribati,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,28.4788828260795,40.453426027045225,19.337329241864946
Saint Kitts and Nevis,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,3.3708505768944077,5.8691069624816965,1.93347621817914
Republic of Korea,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,0.9339184076860498,1.8920747036928647,0.491806321412961
Kuwait,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,1.4391773809637556,2.473510460331084,0.8661068157910834
Lao People's Democratic Republic,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,9.937805109563165,16.934618072216516,5.506763006384067
Lebanon,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Listeria monocytogenes,Bacteria,All infectious syndromes,2019,2.075068980410213,3.3294964516471075,1.2618473569647282
