Location,Age,Sex,Measure,Metric,Pathogen,Pathogen Type,Infectious syndrome,Year,Value,Upper,Lower
Afghanistan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,1.5210804572125327,3.0919571614169503,0.5541172046670447
Angola,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,0.6801588240344892,1.1123479042940316,0.3586918834461041
Albania,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,0.9857401340738948,1.907484528781946,0.37091499525245797
Andorra,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,0.9820818438715285,1.5066583990523663,0.6191264810142472
United Arab Emirates,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,0.487374379481177,0.9408198014792883,0.20593129525411363
Argentina,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,2.5082849597836927,3.4888469841552583,1.7281694945017356
Armenia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,3.820594446245947,5.517161324572028,2.0688879890533554
American Samoa,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,3.112298035172376,4.985214544589952,1.8432129122831296
Antigua and Barbuda,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,1.8130227974776032,2.636027056621825,1.1853168095473154
Australia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,0.7501792517453385,1.0924935886200082,0.5252576720824439
Austria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,0.8129367116227418,1.3057404162206145,0.492420376618762
Azerbaijan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,2.0688759411911866,3.258422504975165,1.2103386985263638
Burundi,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,0.8170811534322648,1.4178161892342147,0.4147654947317351
Belgium,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,1.364994005421056,1.889305936883382,0.9139639419868016
Benin,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,0.7889791015674168,1.2889018695656629,0.4444649744897733
Burkina Faso,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,1.4157452039759175,2.2706016739322816,0.8306985126571783
Bangladesh,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,0.937743770617258,1.3896271224844545,0.542180035916783
Bulgaria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Morganella spp.,Bacteria,All infectious syndromes,2019,2.7071284902056187,5.023974262177466,1.1813683240079342
