Location,Age,Sex,Measure,Metric,Pathogen,Pathogen Type,Infectious syndrome,Year,Value,Upper,Lower
Afghanistan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycoplasma spp.,Bacteria,All infectious syndromes,2019,120.71987591437036,163.58092236474644,87.29276759809133
Angola,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycoplasma spp.,Bacteria,All infectious syndromes,2019,104.93490709834798,150.13551778776355,71.16847744702156
Albania,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycoplasma spp.,Bacteria,All infectious syndromes,2019,21.96497106356412,27.678571206755866,17.18818269360681
Andorra,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycoplasma spp.,Bacteria,All infectious syndromes,2019,14.169177082517672,19.569439966762726,9.945105062633514
United Arab Emirates,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycoplasma spp.,Bacteria,All infectious syndromes,2019,13.160248329754172,20.841107851634725,8.314073165913358
Argentina,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycoplasma spp.,Bacteria,All infectious syndromes,2019,42.4253171464213,50.23681277711634,36.57549792349826
Armenia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycoplasma spp.,Bacteria,All infectious syndromes,2019,26.390225621072034,33.16217738183836,20.89984951760152
American Samoa,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycoplasma spp.,Bacteria,All infectious syndromes,2019,37.990466678444726,54.878973497258336,25.645086191947247
Antigua and Barbuda,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycoplasma spp.,Bacteria,All infectious syndromes,2019,44.79200389311409,59.323510442212246,32.89594987222162
Australia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycoplasma spp.,Bacteria,All infectious syndromes,2019,11.081685998161115,14.787832185672803,8.519408743847304
Austria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycoplasma spp.,Bacteria,All infectious syndromes,2019,10.667462296784256,14.656878181485252,7.890324283965426
Azerbaijan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycoplasma spp.,Bacteria,All infectious syndromes,2019,67.60040585029313,89.58280809417305,50.05649188464139
Burundi,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycoplasma spp.,Bacteria,All infectious syndromes,2019,77.73146332481488,112.35303374698661,53.21247108261273
Belgium,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycoplasma spp.,Bacteria,All infectious syndromes,2019,21.76905454666296,26.003875477606925,18.2328609122803
Benin,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycoplasma spp.,Bacteria,All infectious syndromes,2019,147.9149530598842,206.343751154638,102.01104998990124
Burkina Faso,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycoplasma spp.,Bacteria,All infectious syndromes,2019,181.29109822551752,246.34103119177828,130.42253905157216
Bangladesh,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycoplasma spp.,Bacteria,All infectious syndromes,2019,35.68990135954186,46.75774855549469,26.20639717885634
Bulgaria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycoplasma spp.,Bacteria,All infectious syndromes,2019,29.646350286907204,39.49408958268422,22.105156785573918
Bahrain,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycoplasma spp.,Bacteria,All infectious syndromes,2019,9.475877969715443,13.027126812942857,6.928508950331925
Bahamas,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycoplasma spp.,Bacteria,All infectious syndromes,2019,25.79338723634944,34.59132329820312,19.203773001703308
Bosnia and Herzegovina,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycoplasma spp.,Bacteria,All infectious syndromes,2019,18.963599684924578,27.399899670693678,12.638126317875905
Belarus,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycoplasma spp.,Bacteria,All infectious syndromes,2019,26.197351377326825,35.953696906070235,19.10875697769379
Belize,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycoplasma spp.,Bacteria,All infectious syndromes,2019,61.306197541990805,78.72232764611938,47.28533178131016
Bermuda,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycoplasma spp.,Bacteria,All infectious syndromes,2019,17.669100861744408,24.760203477458237,12.461219806940194
Bolivia (Plurinational State of),All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycoplasma spp.,Bacteria,All infectious syndromes,2019,69.14602891732888,89.77377357121759,50.832215196917765
Brazil,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycoplasma spp.,Bacteria,All infectious syndromes,2019,36.233671507013405,44.35296473139588,29.86970158419545
