Location,Age,Sex,Measure,Metric,Pathogen,Pathogen Type,Infectious syndrome,Year,Value,Upper,Lower
Afghanistan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria gonorrhoeae,Bacteria,All infectious syndromes,2019,0.9824180683636469,1.930056869308094,0.4547711702415861
Angola,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria gonorrhoeae,Bacteria,All infectious syndromes,2019,1.5745841933723175,3.9402581804663974,0.49637839630847574
Albania,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria gonorrhoeae,Bacteria,All infectious syndromes,2019,0.4867587558422804,0.9051237070741671,0.24211969692895063
Andorra,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria gonorrhoeae,Bacteria,All infectious syndromes,2019,0.10904156039809676,0.23384934395966972,0.04789298187375795
United Arab Emirates,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria gonorrhoeae,Bacteria,All infectious syndromes,2019,0.9400604495884435,1.7375119950938105,0.46206317882610715
Argentina,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria gonorrhoeae,Bacteria,All infectious syndromes,2019,0.7662114295194007,1.2637614248195217,0.4369220024272981
Armenia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria gonorrhoeae,Bacteria,All infectious syndromes,2019,1.3718705413078174,2.3286586775073808,0.5175102329991443
American Samoa,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria gonorrhoeae,Bacteria,All infectious syndromes,2019,0.5667021652079134,1.087210685363452,0.2597458069997453
Antigua and Barbuda,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria gonorrhoeae,Bacteria,All infectious syndromes,2019,1.0026658192839233,1.9219475795509857,0.47585277257516867
Australia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria gonorrhoeae,Bacteria,All infectious syndromes,2019,0.5095777347993894,0.8676999020400025,0.2951372147771925
Austria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria gonorrhoeae,Bacteria,All infectious syndromes,2019,0.08324681550606003,0.1476909881701819,0.04840400669690059
Azerbaijan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria gonorrhoeae,Bacteria,All infectious syndromes,2019,1.529760403411481,3.2598304609671453,0.6739868979006038
Burundi,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria gonorrhoeae,Bacteria,All infectious syndromes,2019,1.336311352227905,3.593550404660845,0.42944158528482146
Belgium,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria gonorrhoeae,Bacteria,All infectious syndromes,2019,0.08784144130690617,0.15189842747042978,0.04824699552793971
Benin,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria gonorrhoeae,Bacteria,All infectious syndromes,2019,1.4108330615406521,2.8434354831257638,0.6363880657435034
Burkina Faso,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria gonorrhoeae,Bacteria,All infectious syndromes,2019,1.2243275930182074,2.484846089375407,0.5630461174330827
Bangladesh,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria gonorrhoeae,Bacteria,All infectious syndromes,2019,0.8087636442869546,1.7570999417327229,0.3363170713230681
Bulgaria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria gonorrhoeae,Bacteria,All infectious syndromes,2019,0.39737191148320195,0.7308248612741974,0.18964143622149063
Bahrain,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria gonorrhoeae,Bacteria,All infectious syndromes,2019,0.8752578524055883,1.4263582913209594,0.4805008243254774
Bahamas,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria gonorrhoeae,Bacteria,All infectious syndromes,2019,0.9736356997582525,1.9774031083892354,0.44048352955826703
Bosnia and Herzegovina,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria gonorrhoeae,Bacteria,All infectious syndromes,2019,0.42916568318094106,0.7728585605500524,0.22950614144288764
Belarus,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria gonorrhoeae,Bacteria,All infectious syndromes,2019,0.48379719335300087,1.0257926139516915,0.21833999763176323
Belize,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria gonorrhoeae,Bacteria,All infectious syndromes,2019,0.9881722572988445,1.9680502649894847,0.44258101893642104
Bermuda,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria gonorrhoeae,Bacteria,All infectious syndromes,2019,0.6857907398239736,1.3035716104567956,0.32633341892297174
Bolivia (Plurinational State of),All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria gonorrhoeae,Bacteria,All infectious syndromes,2019,0.6256541060284054,1.3414011988485859,0.25618231953199644
Brazil,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria gonorrhoeae,Bacteria,All infectious syndromes,2019,0.6391529372566047,0.9878202713710725,0.36926803863720825
Barbados,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria gonorrhoeae,Bacteria,All infectious syndromes,2019,0.9338244045591422,1.928783455691382,0.4222245614920755
Brunei Darussalam,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria gonorrhoeae,Bacteria,All infectious syndromes,2019,0.7820725899160433,1.328118367986692,0.43316400545384637
Bhutan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria gonorrhoeae,Bacteria,All infectious syndromes,2019,0.821551066387432,1.7124882274592454,0.32827493894785204
Botswana,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria gonorrhoeae,Bacteria,All infectious syndromes,2019,2.2281901851693524,5.440843426464861,0.7619700655816825
Central African Republic,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria gonorrhoeae,Bacteria,All infectious syndromes,2019,2.1153981311528516,6.900922584241203,0.5735636817184109
Canada,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria gonorrhoeae,Bacteria,All infectious syndromes,2019,0.32725832844609837,0.5688256537648164,0.18577479137302313
Switzerland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria gonorrhoeae,Bacteria,All infectious syndromes,2019,0.11345572553980193,0.20042862017276303,0.06443296159032215
Chile,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria gonorrhoeae,Bacteria,All infectious syndromes,2019,0.7230356547242847,1.4530976280900598,0.38110154251599426
Côte d'Ivoire,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria gonorrhoeae,Bacteria,All infectious syndromes,2019,1.2934247499597693,2.527932941541097,0.5752922624541504
Cameroon,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria gonorrhoeae,Bacteria,All infectious syndromes,2019,1.651750426148233,3.364560650731238,0.7422539154456125
Democratic Republic of the Congo,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria gonorrhoeae,Bacteria,All infectious syndromes,2019,1.712803207008101,4.75854017358263,0.5500805824068653
Congo,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria gonorrhoeae,Bacteria,All infectious syndromes,2019,1.678596067459142,4.428295779691224,0.568394592253865
Cook Islands,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria gonorrhoeae,Bacteria,All infectious syndromes,2019,0.46212728232068084,1.017166478365091,0.20364769150494025
Colombia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria gonorrhoeae,Bacteria,All infectious syndromes,2019,0.5431133438271247,1.1387510074409704,0.2349190642644975
Comoros,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria gonorrhoeae,Bacteria,All infectious syndromes,2019,1.4518203974956423,3.592405312476554,0.486929080640679
Cabo Verde,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria gonorrhoeae,Bacteria,All infectious syndromes,2019,1.2322353921386573,2.3877648772918185,0.6217953152510262
Costa Rica,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria gonorrhoeae,Bacteria,All infectious syndromes,2019,0.5367503549134338,1.0462667968358565,0.23087871021477976
Cuba,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria gonorrhoeae,Bacteria,All infectious syndromes,2019,0.7855615980627065,1.5010249224518242,0.38115189292633345
Cyprus,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria gonorrhoeae,Bacteria,All infectious syndromes,2019,0.09494752871760943,0.17044640496621732,0.050427460120922904
Czechia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria gonorrhoeae,Bacteria,All infectious syndromes,2019,0.3940354608016292,0.7112631239070913,0.2057923223403565
Germany,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria gonorrhoeae,Bacteria,All infectious syndromes,2019,0.07654850508923171,0.12746604597768396,0.041922182429329595
Djibouti,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria gonorrhoeae,Bacteria,All infectious syndromes,2019,1.5877132847768993,4.539258072077272,0.4633109048920525
Dominica,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria gonorrhoeae,Bacteria,All infectious syndromes,2019,1.1885551740655669,2.9326920983982947,0.4081691476363061
Denmark,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria gonorrhoeae,Bacteria,All infectious syndromes,2019,0.07233324942259395,0.12120143931629232,0.04262478746802965
Dominican Republic,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria gonorrhoeae,Bacteria,All infectious syndromes,2019,1.39035349694204,4.015957135308308,0.4358835382102032
Algeria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria gonorrhoeae,Bacteria,All infectious syndromes,2019,0.8225350327686239,1.3986873017938333,0.424344259315702
Ecuador,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria gonorrhoeae,Bacteria,All infectious syndromes,2019,0.47486811907412346,0.8516554389980648,0.24432434111225776
Eritrea,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria gonorrhoeae,Bacteria,All infectious syndromes,2019,1.4303548347720647,3.5519062013410436,0.4804773846142986
Spain,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria gonorrhoeae,Bacteria,All infectious syndromes,2019,0.09204083034328188,0.1543787138052604,0.05207398846559044
Estonia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria gonorrhoeae,Bacteria,All infectious syndromes,2019,0.422426483930278,0.8390610227689964,0.20253272881922682
