Location,Age,Sex,Measure,Metric,Pathogen,Pathogen Type,Infectious syndrome,Year,Value,Upper,Lower
Afghanistan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria meningitidis,Bacteria,All infectious syndromes,2019,448.74633995909466,686.3803202587975,265.3174154353204
Angola,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria meningitidis,Bacteria,All infectious syndromes,2019,393.87506777844027,581.8515281564112,261.5368279230787
Albania,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria meningitidis,Bacteria,All infectious syndromes,2019,26.096207526331163,45.38242120209969,13.086181492640014
Andorra,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria meningitidis,Bacteria,All infectious syndromes,2019,10.234070083796237,18.19746580867987,5.250772855048582
United Arab Emirates,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria meningitidis,Bacteria,All infectious syndromes,2019,30.660104265700287,57.085300939524444,14.884647646555324
Argentina,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria meningitidis,Bacteria,All infectious syndromes,2019,33.98919655033362,51.83102629386794,20.893445829154174
Armenia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria meningitidis,Bacteria,All infectious syndromes,2019,29.4139293099609,45.8433722382932,17.404375601163746
American Samoa,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria meningitidis,Bacteria,All infectious syndromes,2019,80.24892889619963,126.34171125709669,48.28340216284108
Antigua and Barbuda,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria meningitidis,Bacteria,All infectious syndromes,2019,40.622404894605666,64.61690725906456,22.761945196837168
Australia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria meningitidis,Bacteria,All infectious syndromes,2019,6.924208092010256,11.153794814864405,3.8055779656044395
Austria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria meningitidis,Bacteria,All infectious syndromes,2019,10.153269799849664,16.484762557627914,5.447621530956637
Azerbaijan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria meningitidis,Bacteria,All infectious syndromes,2019,48.67308763636963,80.80180805812431,27.181712296599393
Burundi,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria meningitidis,Bacteria,All infectious syndromes,2019,393.0086288116157,587.4697383824627,249.641093394258
Belgium,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria meningitidis,Bacteria,All infectious syndromes,2019,9.707202113401511,15.769842064983193,5.336035119498485
Benin,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria meningitidis,Bacteria,All infectious syndromes,2019,468.9339281926968,700.5891588164047,298.6183520386506
Burkina Faso,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria meningitidis,Bacteria,All infectious syndromes,2019,627.8205405002753,994.8493508031185,384.9803035757106
Bangladesh,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria meningitidis,Bacteria,All infectious syndromes,2019,82.76581218547106,127.58084175890396,52.76034058845216
Bulgaria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria meningitidis,Bacteria,All infectious syndromes,2019,35.534579267629866,61.14303080565461,17.8702561565015
Bahrain,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria meningitidis,Bacteria,All infectious syndromes,2019,18.153170434811248,31.08893847718142,9.434939849683593
Bahamas,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria meningitidis,Bacteria,All infectious syndromes,2019,50.621927987210924,82.50067206104481,29.20747397179226
Bosnia and Herzegovina,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria meningitidis,Bacteria,All infectious syndromes,2019,40.37720618039778,68.71592233146644,20.46361979791445
Belarus,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria meningitidis,Bacteria,All infectious syndromes,2019,41.080727984346744,71.58206480302557,20.897397493588713
Belize,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria meningitidis,Bacteria,All infectious syndromes,2019,74.48397286823678,114.57018883557677,44.050734629232814
Bermuda,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Neisseria meningitidis,Bacteria,All infectious syndromes,2019,14.527317243000473,23.630440436358466,8.10126411973491
