Location,Age,Sex,Measure,Metric,Pathogen,Pathogen Type,Infectious syndrome,Year,Value,Upper,Lower
Afghanistan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Non-typhoidal Salmonella,Bacteria,All infectious syndromes,2019,423.6316806731399,676.7538595669032,258.077504742715
Angola,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Non-typhoidal Salmonella,Bacteria,All infectious syndromes,2019,538.1285223260692,868.719124744498,309.52966817404706
Albania,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Non-typhoidal Salmonella,Bacteria,All infectious syndromes,2019,31.697344711842256,87.25456491903286,8.653516505127259
Andorra,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Non-typhoidal Salmonella,Bacteria,All infectious syndromes,2019,13.498814709001667,36.72117086410418,3.6681191403669673
United Arab Emirates,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Non-typhoidal Salmonella,Bacteria,All infectious syndromes,2019,25.265810960445577,76.15261254560295,7.450669320353092
Argentina,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Non-typhoidal Salmonella,Bacteria,All infectious syndromes,2019,18.09694532858046,39.44195816951619,7.820393248187374
Armenia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Non-typhoidal Salmonella,Bacteria,All infectious syndromes,2019,24.70516919077138,69.03755690703028,7.136670391967847
American Samoa,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Non-typhoidal Salmonella,Bacteria,All infectious syndromes,2019,61.315127458006344,97.03729835891514,36.43894398219721
Antigua and Barbuda,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Non-typhoidal Salmonella,Bacteria,All infectious syndromes,2019,37.493794564582906,78.67399224067965,15.504555247186833
Australia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Non-typhoidal Salmonella,Bacteria,All infectious syndromes,2019,4.3022380247745415,11.330544366644103,1.2885135069352665
Austria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Non-typhoidal Salmonella,Bacteria,All infectious syndromes,2019,16.70832297010673,42.87482743215483,4.230050982936084
Azerbaijan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Non-typhoidal Salmonella,Bacteria,All infectious syndromes,2019,32.17038153594653,73.6774676402856,12.982184934089194
