Location,Age,Sex,Measure,Metric,Pathogen,Pathogen Type,Infectious syndrome,Year,Value,Upper,Lower
Afghanistan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other enterococci,Bacteria,All infectious syndromes,2019,56.227368612326025,92.84056910215999,30.861148078787334
Angola,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other enterococci,Bacteria,All infectious syndromes,2019,54.06453652700675,84.07117655979829,34.36651321779381
Albania,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other enterococci,Bacteria,All infectious syndromes,2019,22.35322398963654,39.23687690853739,10.448590668709892
Andorra,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other enterococci,Bacteria,All infectious syndromes,2019,21.166970307564085,34.96709052280815,11.614749725052917
United Arab Emirates,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other enterococci,Bacteria,All infectious syndromes,2019,11.817371611610644,20.864944552688687,5.968574381374899
Argentina,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other enterococci,Bacteria,All infectious syndromes,2019,37.0313374551154,49.98644178657117,26.557670623022517
Armenia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other enterococci,Bacteria,All infectious syndromes,2019,43.11082954579038,60.817483972210745,28.66915741304239
American Samoa,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other enterococci,Bacteria,All infectious syndromes,2019,47.64407252834724,70.44560107336153,30.928422846081606
Antigua and Barbuda,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other enterococci,Bacteria,All infectious syndromes,2019,38.929974122121834,57.69815383941888,24.582151026479885
Australia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other enterococci,Bacteria,All infectious syndromes,2019,19.28653381054376,27.32569197344025,12.64361822946286
Austria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other enterococci,Bacteria,All infectious syndromes,2019,21.76470858087468,35.66846129610312,12.093244956076576
Azerbaijan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other enterococci,Bacteria,All infectious syndromes,2019,30.873609443553615,48.554009737823904,19.066672327132945
Burundi,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other enterococci,Bacteria,All infectious syndromes,2019,50.070434290135005,78.52917069753389,30.662727514428084
Belgium,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other enterococci,Bacteria,All infectious syndromes,2019,26.730971387207536,40.30288462312977,16.83619184459894
Benin,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other enterococci,Bacteria,All infectious syndromes,2019,66.35206681119502,107.15775539856048,39.67678911674617
Burkina Faso,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other enterococci,Bacteria,All infectious syndromes,2019,80.22426045533852,124.86952214000686,49.89846573781984
Bangladesh,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other enterococci,Bacteria,All infectious syndromes,2019,33.38392632143839,52.42281403820981,20.419212067013653
Bulgaria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other enterococci,Bacteria,All infectious syndromes,2019,44.898898722654025,77.17763520034457,22.27251620488906
Bahrain,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other enterococci,Bacteria,All infectious syndromes,2019,14.952476028598555,23.541391577043417,8.600596211318884
Bahamas,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other enterococci,Bacteria,All infectious syndromes,2019,38.33940242430661,56.91895682449427,25.35520289506963
Bosnia and Herzegovina,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other enterococci,Bacteria,All infectious syndromes,2019,43.852245964869866,78.6749688567176,20.997591330169637
Belarus,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other enterococci,Bacteria,All infectious syndromes,2019,39.896861541161094,71.14374323023887,21.211510111708183
Belize,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other enterococci,Bacteria,All infectious syndromes,2019,32.27567338531356,48.1780566004084,20.84957741267183
