Location,Age,Sex,Measure,Metric,Pathogen,Pathogen Type,Infectious syndrome,Year,Value,Upper,Lower
Afghanistan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,22.263643806071894,45.79844370156322,8.318567809891839
Angola,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,25.962106051794912,50.93998069301026,11.279268180697851
Albania,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,10.094342386970343,18.512046524710563,4.847962376380115
Andorra,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,12.762072013196331,22.80430567381803,6.658164382893787
United Arab Emirates,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,7.488838286021338,15.424705273174979,3.255500110774579
Argentina,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,19.30161732184049,31.98496820255669,10.799891702657707
Armenia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,24.14275778000381,40.955566872262274,12.631755673907998
American Samoa,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,16.48464233639466,30.8272401657499,7.949614566739874
Antigua and Barbuda,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,15.261966485324495,25.955568821399222,7.808139581883081
Australia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,9.243754175417177,15.48375147582948,5.156891965133221
Austria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,13.179748704810406,21.865956314336138,7.413310056777092
Azerbaijan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,21.852169531119614,37.953315611138756,11.04681827664569
Burundi,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,26.930864751679156,52.807925981529145,10.836155386966015
Belgium,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,15.141503268052238,24.755529563041623,8.899286002947653
Benin,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,25.447690885725667,50.05178928248664,10.661342290212946
Burkina Faso,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,30.118592497733488,59.64394819060027,12.481314527151605
Bangladesh,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,20.68236739836345,37.49338356288724,9.883964923282257
Bulgaria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,32.115469763598675,54.59866577058506,16.81914934149035
Bahrain,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,8.722678564516936,15.971813748084047,4.4790011959398015
Bahamas,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,20.720449421900526,37.004131783860046,10.379343595222764
Bosnia and Herzegovina,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Other Klebsiella species,Bacteria,All infectious syndromes,2019,17.55251815020412,29.980681975473246,9.168469940707187
