Location,Age,Sex,Measure,Metric,Pathogen,Pathogen Type,Infectious syndrome,Year,Value,Upper,Lower
Afghanistan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Proteus spp.,Bacteria,All infectious syndromes,2019,46.88236713556893,74.53332073437589,27.2023949416707
Angola,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Proteus spp.,Bacteria,All infectious syndromes,2019,41.09067030277061,63.84894281500127,24.824785949874148
Albania,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Proteus spp.,Bacteria,All infectious syndromes,2019,27.143984513909558,44.20474473768125,14.753615380062255
Andorra,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Proteus spp.,Bacteria,All infectious syndromes,2019,25.369467685675765,39.05847448887874,15.98793130628598
United Arab Emirates,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Proteus spp.,Bacteria,All infectious syndromes,2019,12.808171785589595,22.191738477872942,6.6674169530949285
Argentina,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Proteus spp.,Bacteria,All infectious syndromes,2019,40.708800105430875,55.023735973339015,29.05176422511898
Armenia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Proteus spp.,Bacteria,All infectious syndromes,2019,50.14952788173531,69.65504120062654,33.454954569143915
American Samoa,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Proteus spp.,Bacteria,All infectious syndromes,2019,41.625817624580655,60.92707215340306,27.46170046856777
Antigua and Barbuda,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Proteus spp.,Bacteria,All infectious syndromes,2019,33.62851779069027,48.49381606714887,22.5782405239306
Australia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Proteus spp.,Bacteria,All infectious syndromes,2019,18.7875812818484,26.365037674423238,12.735584887771184
Austria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Proteus spp.,Bacteria,All infectious syndromes,2019,25.2220045568265,36.78261634026218,16.21770926339785
