Location,Age,Sex,Measure,Metric,Pathogen,Pathogen Type,Infectious syndrome,Year,Value,Upper,Lower
Afghanistan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,3.2817820783060028,6.862325604053291,1.1223191193886983
Angola,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,1.2095721496453749,2.044275267582279,0.6463591158950722
Albania,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,0.6486657619838795,1.3029379917667006,0.24879256456226254
Andorra,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,0.40013642560594415,0.6134594121296179,0.24478828568162855
United Arab Emirates,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,0.574887675348255,1.14745653108127,0.2404432291405989
Argentina,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,1.8188032830913823,2.6331841392611244,1.2199008559139561
Armenia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,2.6255706522237277,3.751998849847724,1.5450723661193468
American Samoa,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,3.406526938814593,5.567825738626864,1.9515341970353166
Antigua and Barbuda,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,1.4520696471803907,2.2011867453433673,0.9213983927375703
Australia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,0.3105924998931544,0.4712733777611681,0.2054676039965905
Austria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,0.3563005984010943,0.5806850484272157,0.20686992755487996
Azerbaijan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,2.0203748001574313,3.308216474680545,1.1642159112250468
Burundi,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,1.6028607696156394,2.726001627428307,0.8003689990575177
Belgium,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,0.550228836173219,0.7830341980624846,0.3717957196642319
Benin,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,1.3841871232475913,2.2969642514779074,0.764260132168427
Burkina Faso,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,2.4738461611812452,4.0872287803743905,1.3687686838081112
Bangladesh,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,1.2127536921093274,1.809353539917713,0.7158384612640363
Bulgaria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,1.8761625367789538,3.4653644594819872,0.800767308315231
Bahrain,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,0.4054877196262424,0.7494641408908971,0.17518083014422237
Bahamas,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,2.1761571006026705,3.2898266988463676,1.4240943097787715
Bosnia and Herzegovina,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,1.2242115188364062,2.2995752479875478,0.4924281170442427
Belarus,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,1.0891234578840554,1.7747637246057986,0.6540788749503754
Belize,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,1.6668367860396207,2.514578064204966,1.079014256920961
Bermuda,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,0.5298108847587887,0.8818040836686387,0.30689222867919114
Bolivia (Plurinational State of),All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,2.4426991882305242,4.16180985586203,1.3135420583704667
Brazil,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,2.279779860688717,3.0983720452383663,1.6416271682098382
Barbados,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,3.3337963659233663,4.543826063513482,2.308025967345916
Brunei Darussalam,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,1.204146656893092,1.8672617936534874,0.7556325593206079
Bhutan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,2.4077371786135364,3.872884372224241,1.347437330515518
Botswana,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,0.9366537976605177,1.5786197591159683,0.47400778694764295
Central African Republic,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,3.7588077765399683,6.810258807425177,1.804458383030494
Canada,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,0.3888340970735154,0.5767281214361196,0.26102724916982806
Switzerland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,0.3237108565078606,0.4818845749162723,0.2162259714787009
Chile,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,1.0432973834775197,1.4404251857507226,0.7691018272082953
Côte d'Ivoire,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,1.3383055613532815,2.1979200274241943,0.704633415536714
Cameroon,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,1.3120231881022477,2.2026111164738196,0.7342591081745227
Democratic Republic of the Congo,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,1.3743848055155343,2.424952045362407,0.6924064276147142
Congo,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,1.4139808279895765,2.412575968919047,0.7370002929038256
Cook Islands,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,1.214748679328827,2.2950105816958573,0.4833243950545208
Colombia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,0.9242727964052174,1.3932185548818539,0.6007393447060013
Comoros,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,1.7953315333638764,3.0499369705505677,0.8643810290222613
Cabo Verde,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,0.4726725694800924,0.7530117398158871,0.27730458679842185
Costa Rica,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,0.6592056667670196,1.0081102500739823,0.41035544997413215
Cuba,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,0.8069108379596266,1.3134469724315005,0.4527980293934731
Cyprus,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,0.4799769099590664,0.6923570041242758,0.2854043021256565
Czechia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,0.671484732893177,1.0748919697749668,0.4022584500934593
Germany,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,0.5453753624256875,0.8325822578296496,0.3630420446153697
Djibouti,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,1.3385848079271832,2.3603641165492966,0.6138174462491094
Dominica,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,2.4838685870518566,4.3294069970116436,1.2045435702930756
Denmark,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,0.5195342560572431,0.7713471406271559,0.35024400500102837
Dominican Republic,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,0.5559044997141513,0.9250178214856608,0.3068886446344391
Algeria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,0.5425951948339726,1.0458201634093651,0.22587079185960612
Ecuador,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,1.0692589703601179,1.835893285375483,0.6101246392459068
Eritrea,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,1.681042427120095,2.9379877916222408,0.8731853742962065
Spain,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,0.5425585589543953,0.7513281385598829,0.38667575222530703
Estonia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,0.7676878465874093,1.2433496231737333,0.42304055449310723
Ethiopia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,1.127819489584536,1.8467043519054247,0.5822132594860586
Finland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,0.3355584785775969,0.5465015321502767,0.19932900158153297
Fiji,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,4.556281167137787,8.496971500222948,1.9828980456267025
France,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,0.37230028854885183,0.5868251373186512,0.22934271678611723
Micronesia (Federated States of),All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,4.820800609850537,8.7862108774306,2.189015493538031
Gabon,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,1.4227131498448513,2.314509857884619,0.7677421490952816
United Kingdom,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,0.6309121465001357,0.8624554928727044,0.4632227390253935
Georgia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,1.8854011937855137,3.448215515508052,0.8591701257616478
Ghana,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,0.8777480302531021,1.5673930547023627,0.48441943837853907
Guinea,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,2.172631213585638,3.6937627770112926,1.1512253301725164
Gambia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,1.223690926732339,2.0171204913577516,0.6483714671726667
Guinea-Bissau,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,1.8005445496080206,3.0406000857387516,0.9690701962707715
Equatorial Guinea,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,0.6730013762630233,1.1664743865838512,0.34541759239155934
Greece,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,0.5008407510715177,0.8343281298026799,0.29191850726214397
Grenada,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,2.4145935211842597,3.736898141669719,1.5102676377559208
Greenland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,1.9248063075653377,3.0124828350994104,1.1638192399264211
Guatemala,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,1.5882019800461602,2.6740144801998285,0.8629083634427898
Guam,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,1.5062786474320808,2.4456888776229024,0.8453321888724431
Guyana,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,2.3058467224637025,3.644348351832487,1.4138850413098207
Honduras,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,2.0344707829053212,3.456224533515435,1.0248352373196905
Croatia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,0.8637210747229391,1.354845497876343,0.5450399925621289
Haiti,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,3.006653147611887,4.949657360689129,1.7100103994226943
Hungary,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,0.8815536629862277,1.5025046294191078,0.4602606396646789
Indonesia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,2.808076078663359,4.695716707636792,1.5419992112655423
India,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,3.0773778336503166,4.678383876517089,2.0077507969391895
Ireland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,0.289393618758976,0.42475718696751685,0.19842365890675032
Iran (Islamic Republic of),All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,0.4512633420433804,0.8309534621018577,0.2113646420227091
Iraq,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,0.9230652496178182,1.813796545402147,0.36333751704528106
Iceland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,0.22300427588501115,0.34973578529779836,0.13972999481003098
Israel,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,0.505596088730553,0.7065965619876284,0.3459441650834659
Italy,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,0.31106659718920276,0.535006121538122,0.1679039163938441
Jamaica,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,1.3715203878135465,2.0563669568607374,0.881669187459768
Jordan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,0.3392403308989464,0.6146988487345546,0.16914869468792762
Japan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Providencia spp.,Bacteria,All infectious syndromes,2019,0.42571619206419453,0.6500088407893551,0.2782922020305292
