Location,Age,Sex,Measure,Metric,Pathogen,Pathogen Type,Infectious syndrome,Year,Value,Upper,Lower
Afghanistan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Pseudomonas aeruginosa,Bacteria,All infectious syndromes,2019,540.4098134279851,716.024110185555,389.8680634467549
Angola,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Pseudomonas aeruginosa,Bacteria,All infectious syndromes,2019,411.48640090163224,560.3301130664596,290.4934663215919
Albania,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Pseudomonas aeruginosa,Bacteria,All infectious syndromes,2019,120.8244014998471,186.7620200707376,74.64313364241565
Andorra,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Pseudomonas aeruginosa,Bacteria,All infectious syndromes,2019,118.1238718971145,180.83303405720014,73.37794234267274
United Arab Emirates,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Pseudomonas aeruginosa,Bacteria,All infectious syndromes,2019,92.69626856186598,159.19422152872315,50.13878074250123
Argentina,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Pseudomonas aeruginosa,Bacteria,All infectious syndromes,2019,248.49610685947007,331.40076877102143,183.81453823424417
Armenia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Pseudomonas aeruginosa,Bacteria,All infectious syndromes,2019,212.5273012808427,306.07996588286636,141.583706056267
American Samoa,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Pseudomonas aeruginosa,Bacteria,All infectious syndromes,2019,190.88216426917154,283.5859846219823,120.72232636152155
Antigua and Barbuda,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Pseudomonas aeruginosa,Bacteria,All infectious syndromes,2019,167.5649563389444,246.20164397599476,107.71026826418132
Australia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Pseudomonas aeruginosa,Bacteria,All infectious syndromes,2019,106.41159156931639,154.48627501185692,69.69233418172708
Austria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Pseudomonas aeruginosa,Bacteria,All infectious syndromes,2019,109.90936203847987,161.168212079591,70.3676053720672
Azerbaijan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Pseudomonas aeruginosa,Bacteria,All infectious syndromes,2019,254.10303874683575,360.4491798949563,175.32992084036752
Burundi,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Pseudomonas aeruginosa,Bacteria,All infectious syndromes,2019,482.6843953616457,655.5074009906668,346.64639234429745
Belgium,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Pseudomonas aeruginosa,Bacteria,All infectious syndromes,2019,155.73623122198677,209.61107577411477,113.42244212868921
Benin,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Pseudomonas aeruginosa,Bacteria,All infectious syndromes,2019,668.740085944994,907.2705428723428,477.5633560483117
Burkina Faso,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Pseudomonas aeruginosa,Bacteria,All infectious syndromes,2019,851.8021072942987,1124.7941220453586,628.8023369506334
Bangladesh,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Pseudomonas aeruginosa,Bacteria,All infectious syndromes,2019,230.81589920622483,324.97062253948803,156.78799992798906
