Location,Age,Sex,Measure,Metric,Pathogen,Pathogen Type,Infectious syndrome,Year,Value,Upper,Lower
Afghanistan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Salmonella enterica serovar Typhi,Bacteria,All infectious syndromes,2019,400.3900813940332,613.0638112264862,241.33158950944093
Angola,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Salmonella enterica serovar Typhi,Bacteria,All infectious syndromes,2019,252.23231498719775,369.06139994445635,161.34616519718543
Albania,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Salmonella enterica serovar Typhi,Bacteria,All infectious syndromes,2019,6.056238155210101,14.373455142792537,1.9285552503264558
Andorra,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Salmonella enterica serovar Typhi,Bacteria,All infectious syndromes,2019,1.413523228625543,3.333321276321853,0.4796547619033038
United Arab Emirates,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Salmonella enterica serovar Typhi,Bacteria,All infectious syndromes,2019,21.802070006534365,41.32087456624287,10.612021633963037
Argentina,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Salmonella enterica serovar Typhi,Bacteria,All infectious syndromes,2019,7.77344345490218,12.054436564033658,4.570207722228793
Armenia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Salmonella enterica serovar Typhi,Bacteria,All infectious syndromes,2019,7.400674452766549,11.32195030637452,4.417833315362965
American Samoa,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Salmonella enterica serovar Typhi,Bacteria,All infectious syndromes,2019,42.5090095973179,75.13415403562817,21.16025648310421
Antigua and Barbuda,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Salmonella enterica serovar Typhi,Bacteria,All infectious syndromes,2019,3.898106412116966,6.853294249049484,2.0248905288483576
Australia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Salmonella enterica serovar Typhi,Bacteria,All infectious syndromes,2019,0.6074064164539744,1.0057863733174384,0.3208467894685802
Austria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Salmonella enterica serovar Typhi,Bacteria,All infectious syndromes,2019,1.276856895065209,2.925635116679013,0.4781793873776508
Azerbaijan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Salmonella enterica serovar Typhi,Bacteria,All infectious syndromes,2019,14.45065855150379,24.6908173600554,7.54098844716682
Burundi,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Salmonella enterica serovar Typhi,Bacteria,All infectious syndromes,2019,628.7253874196481,917.3622758579052,399.6914022965713
Belgium,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Salmonella enterica serovar Typhi,Bacteria,All infectious syndromes,2019,1.4518701848315227,3.3884593875986146,0.5025325055253214
Benin,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Salmonella enterica serovar Typhi,Bacteria,All infectious syndromes,2019,551.2598986254013,847.6644636994855,341.5191595313253
Burkina Faso,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Salmonella enterica serovar Typhi,Bacteria,All infectious syndromes,2019,1119.669110850451,1699.4988700916233,706.5742137611807
Bangladesh,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Salmonella enterica serovar Typhi,Bacteria,All infectious syndromes,2019,416.15089884466346,672.8815124229926,233.66103631984168
Bulgaria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Salmonella enterica serovar Typhi,Bacteria,All infectious syndromes,2019,10.54610861285534,25.148297030200236,3.372674197345712
Bahrain,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Salmonella enterica serovar Typhi,Bacteria,All infectious syndromes,2019,14.494053888714557,30.94675604900906,6.305107944941282
Bahamas,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Salmonella enterica serovar Typhi,Bacteria,All infectious syndromes,2019,17.185803914312032,27.77938799694354,9.884419430082493
Bosnia and Herzegovina,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Salmonella enterica serovar Typhi,Bacteria,All infectious syndromes,2019,3.9630834534696464,9.838010446306276,1.2015121443061774
Belarus,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Salmonella enterica serovar Typhi,Bacteria,All infectious syndromes,2019,3.8377218161944016,9.694665294014754,1.1718285327234659
Belize,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Salmonella enterica serovar Typhi,Bacteria,All infectious syndromes,2019,11.355972166928241,18.931025499163567,6.40240331045132
Bermuda,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Salmonella enterica serovar Typhi,Bacteria,All infectious syndromes,2019,0.759492802678425,1.3767956043663065,0.38363597440143204
Bolivia (Plurinational State of),All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Salmonella enterica serovar Typhi,Bacteria,All infectious syndromes,2019,86.17415086033182,128.30936423089358,54.48048398488544
Brazil,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Salmonella enterica serovar Typhi,Bacteria,All infectious syndromes,2019,15.972816357970116,24.041991876690513,10.045777687351515
Barbados,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Salmonella enterica serovar Typhi,Bacteria,All infectious syndromes,2019,10.040803187738176,16.086630004730257,5.77052913444006
Brunei Darussalam,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Salmonella enterica serovar Typhi,Bacteria,All infectious syndromes,2019,3.167812510592252,5.575878101537726,1.6641973234769134
