Location,Age,Sex,Measure,Metric,Pathogen,Pathogen Type,Infectious syndrome,Year,Value,Upper,Lower
Afghanistan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Serratia spp.,Bacteria,All infectious syndromes,2019,113.19049104790827,177.74572975626674,65.45665750143185
Angola,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Serratia spp.,Bacteria,All infectious syndromes,2019,109.55631877345891,165.11503835852434,69.1668938059044
Albania,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Serratia spp.,Bacteria,All infectious syndromes,2019,11.137705323626838,18.668391081762287,5.965994847890061
Andorra,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Serratia spp.,Bacteria,All infectious syndromes,2019,8.728770253510449,14.073053168301582,5.081392112045808
United Arab Emirates,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Serratia spp.,Bacteria,All infectious syndromes,2019,15.918632459448375,29.154485068646434,8.187075466035465
Argentina,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Serratia spp.,Bacteria,All infectious syndromes,2019,30.41308686404743,45.47564359699073,18.9901594727902
Armenia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Serratia spp.,Bacteria,All infectious syndromes,2019,34.94313489330807,51.93657680908232,21.26813947070939
American Samoa,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Serratia spp.,Bacteria,All infectious syndromes,2019,49.425680388703725,76.67830119774011,29.388923814031944
Antigua and Barbuda,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Serratia spp.,Bacteria,All infectious syndromes,2019,34.61175768584993,54.78269630318079,19.80189575614011
Australia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Serratia spp.,Bacteria,All infectious syndromes,2019,11.645502554469779,18.049347176520886,6.796633090164363
Austria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Serratia spp.,Bacteria,All infectious syndromes,2019,9.357166930996573,14.356875051668782,5.666976574966698
Azerbaijan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Serratia spp.,Bacteria,All infectious syndromes,2019,37.514147095227244,61.25393220175392,21.67785040227944
Burundi,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Serratia spp.,Bacteria,All infectious syndromes,2019,105.04422696931235,165.3715491773638,64.33246862452516
