Location,Age,Sex,Measure,Metric,Pathogen,Pathogen Type,Infectious syndrome,Year,Value,Upper,Lower
Afghanistan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,106.15685183587371,248.62816331280183,34.41642519900361
Angola,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,168.0713111802702,356.3998737757271,54.70692233232558
Albania,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,9.424428309732775,21.97712356982328,3.0599668985773105
Andorra,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,0.6994697443668242,1.707423492192899,0.21999748051214718
United Arab Emirates,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,7.154128454389976,18.646126935862284,2.332180618676724
Argentina,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,8.6595502538778,17.37927137737669,3.4243912434856765
Armenia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,9.738439924825364,20.461486672265398,3.7587475446034766
American Samoa,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,30.337189041607203,64.6790418985657,11.081494888574618
Antigua and Barbuda,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,1.8130684091112286,4.150658625291395,0.6640288242573358
Australia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,0.8233092683163481,1.860870806311365,0.30761540048321345
Austria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,0.88564392592844,1.962435311686653,0.31620795683824837
Azerbaijan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,13.668636845743343,32.42041969298332,3.9063237308054313
Burundi,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,495.37372618996665,1277.7569032658444,132.3460087463937
Belgium,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,1.8885194758294106,4.195894376865664,0.7212878163935728
Benin,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,356.3615284419255,906.7465759989061,98.78889133466397
Burkina Faso,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,333.1745476848681,757.6311558244814,114.80101502877689
Bangladesh,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,51.490516499196396,125.26952702890226,17.360878777811752
Bulgaria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,6.5121608821352375,14.821342184881695,2.3819177176508846
Bahrain,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,9.568050167793384,23.251390165047198,3.2224530004520564
Bahamas,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,1.5975050764248147,3.588635690214551,0.586799070700447
Bosnia and Herzegovina,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,7.063992087105787,16.80270790688187,2.44142561534573
Belarus,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,5.278170714796682,12.225226387945474,1.9059794065092206
Belize,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,3.8864652739153933,8.883691248195152,1.4222732982624477
Bermuda,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,1.1286175585584057,2.694352204945642,0.4169733578124898
Bolivia (Plurinational State of),All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,29.347226307011898,69.68688010287174,9.570661077377174
Brazil,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,26.238900360392172,47.411366848598135,11.359391982798943
Barbados,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,1.1034578081195288,2.6572319888076,0.3897938413919895
Brunei Darussalam,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,0.23890293542014937,0.588848371221235,0.08220569704281007
Bhutan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,36.610934333280056,84.60641868235065,10.407727283522215
Botswana,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,239.96389501305077,496.0143616410995,95.93337241485679
Central African Republic,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,2842.7536599559917,5042.804977255663,1204.0060964737538
Canada,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,1.068958924919403,2.3747077245999835,0.401157302945382
Switzerland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,1.32438270982901,3.132776862936358,0.45343914945088104
Chile,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,6.606865611604073,13.709758125002834,2.7009590361831775
Côte d'Ivoire,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,249.5176691968873,594.6336355701001,74.18009553565584
Cameroon,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,581.7403502408314,1300.6772988416303,179.815590723165
Democratic Republic of the Congo,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,315.393544812787,838.7722752106893,76.99107704237015
Congo,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,270.4102804217769,587.3675317895176,80.36586567139835
Cook Islands,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,21.562998709143926,53.78937371694219,7.264687875283417
Colombia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,19.989131989690758,35.37908162542412,9.74219284151674
Comoros,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,153.5439315948278,349.5831948296419,56.81068997163988
Cabo Verde,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,37.5927176514475,78.39628983543984,15.693958018138021
Costa Rica,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,7.834625083499059,16.239469132124018,3.190127444472195
Cuba,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,2.0297147010892678,4.600711440228282,0.7514514030802303
Cyprus,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,1.051391425698331,2.5188466159438256,0.32020583363580324
Czechia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,7.442027027100976,16.46093151412602,2.7815653503527766
Germany,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,1.552007805782227,3.463992486966387,0.5833578202573342
Djibouti,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,132.1281464012511,293.58306277435366,45.18143566028582
Dominica,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,2.5724435097741964,5.961415187733729,0.8597990260069367
Denmark,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,1.429338356285454,3.2480932319436695,0.5411509977946128
Dominican Republic,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,6.859707090663545,17.153118646008444,1.8629002162270882
Algeria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,14.454696692173108,31.93628829677877,5.086066648526708
Ecuador,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,10.538886110691852,22.49140645328726,3.8334752341765195
Eritrea,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,329.8254135894744,730.9679708153673,114.72377136168431
Spain,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,0.39736183781600654,0.9177176257686865,0.13746116997514574
Estonia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,7.099097239319924,15.446978487206877,2.6357135662083127
Ethiopia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,286.71941001236604,570.0879227047095,110.95725746462213
Finland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,0.6864239778502119,1.5562053511325857,0.2511432134691427
Fiji,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,92.77970327880382,187.34537243371187,35.53413383171357
France,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,1.0493421677216812,2.265199145800339,0.4018137576508395
Micronesia (Federated States of),All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,52.31624874935053,124.73127136453145,16.75742929360068
Gabon,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Shigella spp.,Bacteria,All infectious syndromes,2019,87.85449177438578,200.782039175106,27.126457333539175
