Location,Age,Sex,Measure,Metric,Pathogen,Pathogen Type,Infectious syndrome,Year,Value,Upper,Lower
Afghanistan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,1716.1119342618485,2234.136384241589,1280.873961585473
Angola,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,1355.592356551956,1901.2457544001795,954.2095145321973
Albania,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,183.01725883771775,254.06231287421932,128.60436980710838
Andorra,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,107.69889633762517,159.06373351682868,71.36811349005751
United Arab Emirates,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,113.50224585584155,182.0042007724041,70.32130098544694
Argentina,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,333.1626444508545,395.3352327141353,284.32375122748306
Armenia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,208.67596983082294,271.9027278252209,157.39328052626465
American Samoa,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,366.38871243814515,515.1925483354295,256.4143490500755
Antigua and Barbuda,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,229.1367807610364,306.75116739283385,167.19692143826202
Australia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,74.27575040319866,102.31124688703343,53.851783131972816
Austria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,92.83150270148673,132.1352612783438,63.690565570686154
Azerbaijan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,477.08062572990593,630.9834249667969,354.8360021668672
Burundi,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,1124.4753027519512,1619.2719261191899,773.7216087319582
Belgium,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,154.7695450817915,197.42083426901291,121.7961462254599
Benin,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,1936.565132012576,2697.1984799871934,1350.449212996512
Burkina Faso,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,2664.2538794142147,3533.7362149633823,1940.2586177719593
Bangladesh,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,360.33359943583935,465.8783109523702,274.6824847980225
Bulgaria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,281.85930784210757,403.09168276544136,189.00215473904626
Bahrain,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,78.55021384623117,117.12695159073711,52.44785534410548
Bahamas,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,239.01918902523315,328.458641747719,174.7968645201391
Bosnia and Herzegovina,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,175.40861177578984,266.9210917951508,106.84842530482382
Belarus,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,201.93402259291216,299.7766976756411,135.84717217791746
Belize,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,318.9149062993751,409.24806254487066,246.38746949968188
Bermuda,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,131.57417590034376,182.57666607651382,94.33354791674418
Bolivia (Plurinational State of),All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,699.0533417672206,892.9700931717986,530.3615342222862
Brazil,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,312.57516117506066,386.31795761478503,256.23452310010566
Barbados,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,262.4011975092385,352.3245395444432,191.75994638854496
Brunei Darussalam,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,192.73552264425916,256.64541234258445,146.17580952603112
Bhutan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,416.26348765644514,605.3621773162719,284.4009404888945
Botswana,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,961.8311800813234,1278.7145371758854,729.3726568662987
Central African Republic,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,3070.9224598707856,4384.588204857115,2136.3772207551797
Canada,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,97.37103090743338,129.26179702553188,73.57997773737117
Switzerland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,86.24470901702844,115.59359798856937,63.26612783253519
Chile,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,123.87037923360916,163.45943770704937,94.8369955462322
Côte d'Ivoire,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,1500.5232573309245,2022.8980359630777,1059.3336663739085
Cameroon,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,1307.1324702612142,1818.8140637532263,912.730639502137
Democratic Republic of the Congo,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,1036.0300605102982,1412.5630208202497,758.0109951748012
Congo,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,683.9393770290164,915.8402335246678,495.03757472929533
Cook Islands,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,323.11885154575594,427.8275555886099,237.92974051042873
Colombia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,185.0636337500818,262.243681459265,124.9772515785985
Comoros,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,1096.6803456786038,1429.1133147286946,805.2749419616307
Cabo Verde,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,383.06446397869405,486.2613571927376,297.822595303488
Costa Rica,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,126.81667412032006,185.28774534892096,83.70762211373692
Cuba,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,228.15347124945882,297.8910898717828,175.56480621882142
Cyprus,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,80.83886334036673,116.24390920261739,55.89458145233747
Czechia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,171.38744670472585,235.5710449595593,122.78304180831253
Germany,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,131.64332297705943,176.79679608879817,97.21682132105096
Djibouti,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,1292.4476576516902,1751.592302324473,913.6486516404806
Dominica,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,368.0093847412324,511.76241272938137,253.33579202122567
Denmark,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,140.50401069204494,186.63388220913703,105.28551605286515
Dominican Republic,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,384.4338679427323,558.6688015748498,251.9121283620235
Algeria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,211.93535203920507,297.8507576205754,150.9025810811082
Ecuador,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,329.75059586459247,440.0882588741055,242.53693025668778
Eritrea,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,1126.0244090009228,1605.9542338431359,768.5369165171865
Spain,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,115.73968150966267,153.7095834683372,86.65649318686785
Estonia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,166.0609809545142,237.00901113587594,117.34042337667977
Ethiopia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,1115.2690973872466,1457.3767579376577,859.445122854914
Finland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,90.40003480050099,129.0237080986634,61.36465698600055
Fiji,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,474.6837127269734,666.926124718623,327.4367967359651
France,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,115.10073584637767,154.27707347190955,86.21374206160101
Micronesia (Federated States of),All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,635.2633536776281,844.2665226506075,441.9632142186241
Gabon,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,574.1819994248489,804.0886173517686,414.554614011582
United Kingdom,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,173.01603414003753,218.19589044585558,139.27311161730623
Georgia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,232.2292161258753,313.77168139050934,166.04469690931774
Ghana,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,804.0808312272973,1081.9448678647152,581.685060079609
Guinea,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,3300.1935299578145,4488.281176764953,2324.8043860853854
Gambia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,866.3636034686157,1152.8398991023626,635.1106286833941
Guinea-Bissau,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,1320.0981527351096,1743.309713920352,957.9960532536765
Equatorial Guinea,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,602.0047960555487,932.8506691566602,374.50356690328834
Greece,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,165.63782225866,214.08610829325622,130.80132678533295
Grenada,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,349.95006726728434,451.40804350951527,273.2743410150353
Greenland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,204.33253895067702,296.49110622650915,133.87482007619093
Guatemala,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,701.8893171977589,944.0264178387825,511.83442345388227
Guam,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,331.03317507469376,443.823035252463,240.51134456374632
Guyana,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,421.0846771022069,600.2055317927048,287.18284628559286
Honduras,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,242.29066869070033,348.15297753460754,159.71375196507847
Croatia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,125.76169232491173,190.1811919310165,78.93872472080726
Haiti,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,1468.7026263995488,1913.3256198089596,1089.4758760164657
Hungary,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,153.51652927776618,233.83550526424227,97.10628560010775
Indonesia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,346.24332552654147,455.0625988421332,261.01000483107214
India,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,556.3505570437012,708.9073534502184,445.2679258473212
Ireland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,105.34039826375466,137.9579104135582,80.3723724976161
Iran (Islamic Republic of),All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,142.0877202576929,187.1865220829372,107.51902321390169
Iraq,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,245.8802723527926,353.7921400179601,169.544217751338
Iceland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,94.68376112372889,125.17937529138187,72.26976044708125
Israel,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,87.47746451869605,117.13985209159142,64.694423772907
Italy,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,95.28449608223448,132.66679350546366,67.85962595191701
Jamaica,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,195.97612825302508,295.1703089370211,125.14596232237147
Jordan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,202.02761317432106,278.91253668162244,148.4213276977766
Japan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,176.08614890425318,206.943307967994,148.24388025718304
Kazakhstan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,285.86835759297117,371.1461554075992,221.60873603122485
Kenya,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,722.8075408769386,896.0239063892692,578.1492116746726
Kyrgyzstan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,297.0876151851635,368.42560444166514,237.69793033501136
Cambodia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,825.9957041173581,1047.817365937872,662.7959336320897
Kiribati,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,878.2454625792853,1166.2325956552227,644.5589781393536
Saint Kitts and Nevis,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,273.1472588386509,376.81666772840936,192.5784174799217
Republic of Korea,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,101.98021393891007,129.5350975441957,78.29293929591749
Kuwait,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,94.12237935181945,125.45779971073513,72.69266704115414
Lao People's Democratic Republic,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,1073.6511084697715,1445.3518882608341,781.7201660144277
Lebanon,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,155.41289737211585,217.1282899523839,110.77449207055587
Liberia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,823.6231585691244,1137.0224170962108,591.5584334126896
Libya,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,171.8848036271609,245.19865508947643,117.67823513452976
Saint Lucia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,249.09440796642082,346.33314266512275,175.68917201155716
Sri Lanka,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Streptococcus pneumoniae,Bacteria,All infectious syndromes,2019,185.75005426038823,262.52723908996774,127.52867076053114
