Location,Age,Sex,Measure,Metric,Pathogen,Pathogen Type,Infectious syndrome,Year,Value,Upper,Lower
Afghanistan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Vibrio cholerae,Bacteria,All infectious syndromes,2019,263.9112938454228,549.9770413365518,107.11503255832412
Angola,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Vibrio cholerae,Bacteria,All infectious syndromes,2019,333.5799325230223,660.3543472279223,143.19441301137914
Albania,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Vibrio cholerae,Bacteria,All infectious syndromes,2019,0,0,0
Andorra,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Vibrio cholerae,Bacteria,All infectious syndromes,2019,0,0,0
United Arab Emirates,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Vibrio cholerae,Bacteria,All infectious syndromes,2019,40.22395644891605,171.39539148327628,9.635301866322157
Argentina,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Vibrio cholerae,Bacteria,All infectious syndromes,2019,0,0,0
Armenia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Vibrio cholerae,Bacteria,All infectious syndromes,2019,9.974123037416803,21.43460383545733,4.021090868430976
American Samoa,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Vibrio cholerae,Bacteria,All infectious syndromes,2019,9.588964807796213,26.737009060779606,3.0643205354681258
Antigua and Barbuda,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Vibrio cholerae,Bacteria,All infectious syndromes,2019,55.912962435611206,95.66559542063506,29.407326181395973
Australia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Vibrio cholerae,Bacteria,All infectious syndromes,2019,0,0,0
Austria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Vibrio cholerae,Bacteria,All infectious syndromes,2019,0,0,0
Azerbaijan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Vibrio cholerae,Bacteria,All infectious syndromes,2019,150.80244548301607,315.3007892706684,59.77936022855682
Burundi,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Vibrio cholerae,Bacteria,All infectious syndromes,2019,250.8194730333363,683.5199389499363,85.17942592129546
Belgium,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Vibrio cholerae,Bacteria,All infectious syndromes,2019,0,0,0
Benin,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Vibrio cholerae,Bacteria,All infectious syndromes,2019,121.5727667161985,330.06123020073903,33.58800099033335
Burkina Faso,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Vibrio cholerae,Bacteria,All infectious syndromes,2019,135.12884031948235,330.0958747983023,42.208599526680885
